Feature.ID	ECOGEN2023_A1_A7_F3.R1	ECOGEN2023_A1_A7_F3.R5	ECOGEN2023_A1_A7_F3.R6	ECOGEN2023_A1_A7_F4.R2	ECOGEN2023_A1_A7_F4.R6	ECOGEN2023_A2_A8_F2.R6	ECOGEN2023_A2_A8_F4.R5	ECOGEN2023_A2_A8_F4.R6	ECOGEN2023_A3_A9_F2.R6	ECOGEN2023_A3_A9_F3.R2	ECOGEN2023_A3_A9_F3.R6	ECOGEN2023_A3_A9_F4.R5	ECOGEN2023_A3_A9_F4.R6	ECOGEN2023_A4_A10_F2.R6	ECOGEN2023_A4_A10_F3.R2	ECOGEN2023_A4_A10_F3.R6	ECOGEN2023_A4_A10_F4.R2	ECOGEN2023_A4_A10_F4.R5	ECOGEN2023_A4_A10_F4.R6	ECOGEN2023_A5_A11_F3.R1	ECOGEN2023_A5_A11_F3.R5	ECOGEN2023_A5_A11_F4.R5	ECOGEN2023_B2_B8_F3.R1	ECOGEN2023_B2_B8_F3.R2	ECOGEN2023_B2_B8_F3.R5	ECOGEN2023_B2_B8_F3.R6	ECOGEN2023_B2_B8_F4.R2	ECOGEN2023_B2_B8_F4.R5	ECOGEN2023_B3_B9_F2.R6	ECOGEN2023_B3_B9_F3.R1	ECOGEN2023_B3_B9_F3.R2	ECOGEN2023_B3_B9_F3.R5	ECOGEN2023_B3_B9_F3.R6	ECOGEN2023_B3_B9_F4.R2	ECOGEN2023_B3_B9_F4.R6	ECOGEN2023_B4_B10_F2.R2	ECOGEN2023_B4_B10_F2.R6	ECOGEN2023_C1_C7_F2.R6	ECOGEN2023_C1_C7_F4.R5	ECOGEN2023_C1_C7_F4.R6	ECOGEN2023_C2_C8_F2.R6	ECOGEN2023_C2_C8_F4.R6	ECOGEN2023_C3_C9_F2.R6	ECOGEN2023_C3_C9_F3.R1	ECOGEN2023_C3_C9_F3.R2	ECOGEN2023_C3_C9_F3.R5	ECOGEN2023_C3_C9_F3.R6	ECOGEN2023_C3_C9_F4.R2	ECOGEN2023_C3_C9_F4.R6	ECOGEN2023_C4_C10_F2.R2	ECOGEN2023_C4_C10_F2.R6	ECOGEN2023_C4_C10_F3.R2	ECOGEN2023_C4_C10_F3.R6	ECOGEN2023_C4_C10_F4.R6	ECOGEN2023_C5_C11_F3.R1	ECOGEN2023_C5_C11_F3.R5	ECOGEN2023_C6_C12_F3.R1	ECOGEN2023_C6_C12_F3.R5	ECOGEN2023_D1_D7_F4.R5	ECOGEN2023_D2_D8_F2.R6	ECOGEN2023_D2_D8_F3.R2	ECOGEN2023_D2_D8_F3.R6	ECOGEN2023_D2_D8_F4.R5	ECOGEN2023_D3_D9_F2.R6	ECOGEN2023_D3_D9_F3.R2	ECOGEN2023_D3_D9_F3.R6	ECOGEN2023_D3_D9_F4.R5	ECOGEN2023_D3_D9_F4.R6	ECOGEN2023_D4_D10_F3.R2	ECOGEN2023_D4_D10_F3.R6	ECOGEN2023_E1_E7_F3.R1	ECOGEN2023_E1_E7_F3.R5	ECOGEN2023_E1_E7_F4.R2	ECOGEN2023_E1_E7_F4.R5	ECOGEN2023_E2_E8_F3.R2	ECOGEN2023_E2_E8_F3.R6	ECOGEN2023_E3_E9_F3.R2	ECOGEN2023_E3_E9_F3.R6	ECOGEN2023_E3_E9_F4.R1	ECOGEN2023_E3_E9_F4.R6	ECOGEN2023_E4_E10_F3.R1	ECOGEN2023_E4_E10_F3.R5	ECOGEN2023_F1_F7_F2.R6	ECOGEN2023_F1_F7_F3.R2	ECOGEN2023_F1_F7_F3.R6	ECOGEN2023_F1_F7_F4.R5	ECOGEN2023_F1_F7_F4.R6	ECOGEN2023_F2_F8_F2.R6	ECOGEN2023_F2_F8_F3.R2	ECOGEN2023_F2_F8_F3.R6	ECOGEN2023_F2_F8_F4.R6	ECOGEN2023_F3_F9_F2.R6	ECOGEN2023_F3_F9_F3.R2	ECOGEN2023_F3_F9_F3.R6	ECOGEN2023_F3_F9_F4.R6	ECOGEN2023_F4_F10_F3.R1	ECOGEN2023_F4_F10_F3.R5	ECOGEN2023_F4_F10_F4.R5	ECOGEN2023_F5_F11_F3.R1	ECOGEN2023_F5_F11_F3.R5	ECOGEN2023_F5_F11_F4.R5	ECOGEN2023_F6_F12_F4.R5	ECOGEN2023_G1_G7_F3.R2	ECOGEN2023_G1_G7_F3.R6	ECOGEN2023_G1_G7_F4.R6	ECOGEN2023_G2_G8_F3.R1	ECOGEN2023_G2_G8_F3.R2	ECOGEN2023_G2_G8_F3.R5	ECOGEN2023_G2_G8_F3.R6	ECOGEN2023_G2_G8_F4.R2	ECOGEN2023_G2_G8_F4.R5	ECOGEN2023_G2_G8_F4.R6	ECOGEN2023_G3_G9_F3.R1	ECOGEN2023_G3_G9_F3.R2	ECOGEN2023_G3_G9_F3.R5	ECOGEN2023_G3_G9_F3.R6	ECOGEN2023_G3_G9_F4.R2	ECOGEN2023_G3_G9_F4.R5	ECOGEN2023_G3_G9_F4.R6	ECOGEN2023_G4_G10_F3.R1	ECOGEN2023_G4_G10_F3.R5	ECOGEN2023_H1_H7_F3.R1	ECOGEN2023_H1_H7_F3.R5	ECOGEN2023_H1_H7_F4.R2	ECOGEN2023_H1_H7_F4.R5	ECOGEN2023_H3_H9_F2.R2	ECOGEN2023_H3_H9_F2.R6	ECOGEN2023_H3_H9_F3.R2	ECOGEN2023_H3_H9_F4.R6	ECOGEN2023_H4_H10_F4.R5	ECOGEN2023_H5_H11_F4.R5	ECOGEN2023_H6_H12_F4.R5	ECOGEN2023_A1_A7_F4.R5	ECOGEN2023_A2_A8_F5.R5	ECOGEN2023_A3_A9_F4.R3	ECOGEN2023_A3_A9_F5.R5	ECOGEN2023_A4_A10_F4.R3	ECOGEN2023_A4_A10_F5.R3	ECOGEN2023_A4_A10_F5.R5	ECOGEN2023_A5_A11_F4.R2	ECOGEN2023_A5_A11_F5.R5	ECOGEN2023_B2_B8_F4.R3	ECOGEN2023_B2_B8_F4.R6	ECOGEN2023_B2_B8_F5.R5	ECOGEN2023_B3_B9_F4.R3	ECOGEN2023_B3_B9_F4.R5	ECOGEN2023_B4_B10_F2.R3	ECOGEN2023_C1_C7_F5.R5	ECOGEN2023_C3_C9_F4.R3	ECOGEN2023_C3_C9_F4.R5	ECOGEN2023_C4_C10_F2.R3	ECOGEN2023_C4_C10_F4.R3	ECOGEN2023_C5_C11_F4.R2	ECOGEN2023_C5_C11_F4.R5	ECOGEN2023_C6_C12_F4.R2	ECOGEN2023_C6_C12_F4.R5	ECOGEN2023_D1_D7_F5.R5	ECOGEN2023_D2_D8_F4.R3	ECOGEN2023_D2_D8_F4.R6	ECOGEN2023_D2_D8_F5.R5	ECOGEN2023_D3_D9_F4.R3	ECOGEN2023_D3_D9_F5.R5	ECOGEN2023_D4_D10_F4.R3	ECOGEN2023_D4_D10_F4.R5	ECOGEN2023_D4_D10_F4.R6	ECOGEN2023_E2_E8_F4.R3	ECOGEN2023_E2_E8_F4.R6	ECOGEN2023_E3_E9_F4.R3	ECOGEN2023_E3_E9_F4.R5	ECOGEN2023_E4_E10_F4.R2	ECOGEN2023_E4_E10_F4.R5	ECOGEN2023_E5_E11_F4.R5	ECOGEN2023_E6_E12_F4.R5	ECOGEN2023_F1_F7_F4.R3	ECOGEN2023_F1_F7_F5.R5	ECOGEN2023_F2_F8_F4.R3	ECOGEN2023_F3_F9_F4.R3	ECOGEN2023_F4_F10_F4.R2	ECOGEN2023_F4_F10_F5.R5	ECOGEN2023_F5_F11_F4.R2	ECOGEN2023_F6_F12_F5.R5	ECOGEN2023_G1_G7_F4.R3	ECOGEN2023_G2_G8_F4.R3	ECOGEN2023_G3_G9_F4.R3	ECOGEN2023_G3_G9_F5.R5	ECOGEN2023_G4_G10_F4.R2	ECOGEN2023_G4_G10_F4.R5	ECOGEN2023_H3_H9_F2.R3	ECOGEN2023_H3_H9_F4.R3	ECOGEN2023_H4_H10_F5.R5	ECOGEN2023_H5_H11_F5.R5	ECOGEN2023_H6_H12_F5.R5
993d903e6fa0227167c9b1095a2799d7	0	0	0.0252311549913807	0.00952858575727182	0.0445669653112796	0.00422261633307998	0	0	0.0182659328387972	0	0	0.0294012190749373	0	0.00139938427092079	0.00783289817232376	0.0126582278481013	0.00799793601651187	0	0.0337148803329865	0.00601307189542484	0.0045480386583286	0.0103530661003451	0	0	0	0	0.0257593646023398	0.0231965332653581	0	0	0.000827814569536424	0	0.000800800800800801	0	0	0.00180722891566265	0.00222681724192779	0.241055638688614	0	0	0.495088408644401	0	0	0	0	0	0	0	0.00285954583683768	0	0	0.0073521688898225	0.00558299334335409	0	0.00496088532722763	0.00240601503759398	0.0225615763546798	0.0383167220376523	0	0.0141247298548935	0	0	0	0.0293172690763052	0.00720644340822382	0.00658574380165289	0.0230056767254258	0.0138930836605255	0.0026635784597568	0.00278481012658228	0	0	0.009184372858122	0.0104895104895105	0	0	0	0	0.0116429495472186	0	0	0	0.0012998266897747	0	0	0	0	0	0.0525520288338565	0.0513253012048193	0	0.00650892105061643	0.00170140365801786	0.00136798905608755	0	0.0088532015647519	0.00635541432412613	0	0	0	0	0	0.00110361741263029	0	0	0	0.00539988324576766	0	0.00129785853341986	0	0.00152091254752852	0.00961136648558295	0	0.00547795124623391	0	0.00478984552748174	0.00798374219770649	0.0101404056162246	0.00649205283187822	0	0	0	0	0.00949241924851681	0	0	0.00442282176028306	0	0	0.00451950523311132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5482759552aa7896ae55b8ac4c15c8fd	0	0	0.00626860993574675	0	0	0.0184950595388903	0	0.000318725099601594	0.00271197256121879	0	0	0.00627465041233417	0.00971524288107203	0	0	0	0	0	0.00676378772112383	0	0.00511654349061967	0.000398194850013273	0	0.012990387113536	0.000498670212765957	0.0191285866099894	0.0242567350005367	0.0479225082844762	0.0292796281951975	0	0.0075685903500473	0	0.0122122122122122	0.0156156156156156	0.0504429133858268	0	0	0.0187729560603999	0.0124069478908189	0.0442906574394464	0.0943025540275049	0	0.00197926484448633	0.0124544706849959	0.00482403245258195	0.0181413657367791	0.00576893881888568	0	0	0	0	0	0.0032209576980889	0.0245040840140023	0.0215607708452585	0.0294736842105263	0	0	0.00281056773468241	0.0159771534424205	0	0	0	0.0072289156626506	0.00438038716970468	0	0	0	0.00706427330631152	0	0.00961849337213062	0.00929562712752029	0.0152159013022618	0.0041958041958042	0	0	0	0	0.121604139715395	0	0	0	0.0121317157712305	0.00400679941719281	0.00701968564016481	0.00265453166477057	0	0.0314240254574383	0	0.00192771084337349	0.00670241286863271	0	0.00212675457252233	0	0.0346402740768938	0.00977969940292362	0.013199706673185	0	0.00297994269340974	0	0	0	0.00846106683016554	0.00642361111111111	0	0.000933955970647098	0	0.00493258796448537	0	0	0	0	0.0603225409331528	0.00109559024924678	0.107516466485858	0	0.00870953694295253	0.113104524180967	0	0.0046535677352637	0.00270700636942675	0	0	0.002636783124588	0	0.0144882860665845	0.0344980097302079	0.0115679224636548	0	0.0111798287345385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76a3d559501aab2604576b31f70fd6e1	0.00475615280084554	0	0.00908948440683278	0.00317619525242394	0.0135538708936366	0.00185795118655519	0	0	0.00223338916806253	0	0	0.0105772678379347	0.0398659966499162	0.00326522996548185	0.0113577023498695	0.0268987341772152	0.0189628482972136	0.00188560653676933	0.0133194588969823	0.0120261437908497	0.0167708925525867	0.00862755508362092	0.00467163776839457	0.0170174071187321	0.00648271276595745	0.0103613177470776	0.0158849415047762	0.024725975019118	0.046862896979086	0	0.00283822138126774	0.00210801043967075	0	0.00570570570570571	0.00984251968503937	0	0	0	0.0161290322580645	0.0131487889273356	0.068762278978389	0.00440414507772021	0.0136663524976437	0.0123369756785337	0.00109637101195044	0.0171144959780934	0.0015181417944436	0.00178890876565295	0.0080740117746005	0.00127483267821098	0	0.0101880054616112	0.0100923341206785	0.0350058343057176	0.0113527952680786	0.00902255639097744	0.0267980295566502	0.0365448504983389	0	0.0165174436554492	0	0	0.0247850278199292	0.0138955823293173	0.00974989402289106	0.0160123966942149	0.00746937556020317	0.00724856538810027	0.00451650260567458	0.00430379746835443	0.0412221144519884	0.0576067033254779	0.0142563399588759	0.0034965034965035	0.00358756311453627	0	0	0	0.0310478654592497	0	0	0	0.0398613518197574	0.0100777076250607	0.0108347321837326	0.00606750094804702	0	0.00298329355608592	0.00685966748052552	0.00746987951807229	0.0254691689008043	0.00176123746075503	0	0.00328317373461012	0.0106585458698135	0	0	0.00589390962671906	0.00240687679083095	0	0	0	0.0171673819742489	0.0190972222222222	0	0.00200133422281521	0.00452422650321074	0.00164419598816179	0.00405580791693705	0	0	0.00459674049310489	0.0294226271082113	0	0.0437814800464936	0.00155669979643157	0.00203222528668892	0.0195007800312012	0	0.0154084798345398	0.0199044585987261	0.00616909385113269	0.0118133490844654	0.0109426499670402	0	0.0122533908754624	0.0297434763379036	0.0071908707206503	0	0	0	0.0149595212953185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e6131b1048cbd963bc80f6c64727f31	0	0	0.00360445071305438	0	0	0	0	0.0237450199203187	0	0.0258169554599372	0.0326379542395693	0	0.00435510887772194	0.0047579065211307	0	0	0	0.0125707102451289	0.00260145681581686	0.0073202614379085	0	0.0142022829838067	0.0124876471116701	0.00272798129384256	0.0142952127659574	0	0	0.0173336732092786	0	0.0242408777749426	0.0139545884578997	0.0298132905039149	0.0176176176176176	0.0035035035035035	0	0.00530120481927711	0.00373787179895021	0	0.0086848635235732	0	0	0	0.00273327049952875	0	0	0.00376518911518056	0	0	0.0080740117746005	0	0	0.0162798025417498	0.0197552072149452	0	0	0	0.00729064039408867	0.00753045404208195	0.0174255199550309	0	0	0.00736862516967229	0	0.00377510040160643	0.00282605623851915	0.00206611570247934	0	0.0147991543340381	0	0	0.00347559004203039	0.00615344330976695	0	0	0.008769598724422	0.0120387333158859	0.0161014045906132	0.0126455906821963	0	0	0.00317460317460317	0.00277520814061055	0.00606585788561525	0	0	0	0.0246055094945173	0	0.00685966748052552	0.0063855421686747	0	0	0.0320076563164611	0.0307797537619699	0	0.00329421453572164	0	0	0.00458452722063037	0	0.0366565961732125	0	0.00429184549356223	0.00329861111111111	0	0.0124082721814543	0.0140105078809107	0.0151266030910885	0.0175210902011681	0.0105628908964559	0	0	0	0.0128731854286497	0.00290585044556373	0.0119746138187043	0.0065321527072144	0.0046801872074883	0	0.00568769389865564	0.0121019108280255	0	0.00521756251230557	0.0025049439683586	0.0422272047832586	0	0	0.00891042676254494	0.0142768466790813	0.00380589914367269	0.0235560588901472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4fb4e90d7d47e173834067ff3cfeec25	0.00551109768986864	0.00686922060766182	0.0117536436295252	0.00752256770310933	0.0147025040202159	0	0.00402921178544447	0	0.00853473717795326	0	0	0.0195410541412693	0.00653266331658291	0.00485119880585876	0	0	0.00657894736842105	0	0.00332986472424558	0.00296296296296296	0.0125071063104036	0.00530926466684364	0.00467163776839457	0.00818394388152767	0	0.00903294367693943	0.0122356981861114	0.012490440989039	0.00224632068164214	0	0.00827814569536424	0	0.0114114114114114	0.0032032032032032	0.0105807086614173	0	0	0.00435314923139709	0.0415632754342432	0.0256055363321799	0	0	0.00122525918944392	0.00375984020679121	0	0.0044497689543043	0	0	0.0080740117746005	0	0	0	0	0	0.00505628696813585	0.0108270676691729	0.01064039408867	0.0181616832779623	0	0.00339610991046619	0	0	0.0161861406170966	0.00690763052208835	0.00847816871555744	0	0.0182252763668957	0	0	0	0.00549628192693178	0.00628436763550668	0.00808773132282385	0	0	0	0	0	0	0	0	0	0.0103986135181976	0.00473530840213696	0.0068670837784221	0.00834281380356466	0	0	0.0082548540867341	0.00783132530120482	0.0120643431635389	0.000995482043035455	0	0	0	0	0.0095331214861892	0	0	0	0	0.0053742802303263	0.0193746167995095	0.00989583333333333	0.0248803827751196	0	0	0	0.00340687865022713	0.00639332870048645	0	0.0217300459674049	0.0103410070171119	0.0089016707751301	0	0.00969943719315052	0.00725794745246044	0	0.00492500559659727	0.00579110651499483	0	0.00515776699029126	0.00639889742075212	0.003295978905735	0	0.00508631319358816	0.00552852720035383	0.00531499140221979	0	0	0	0.0161914818725801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b8b1874f76b860cbd0d250b26522aba	0.00332175751170165	0.00541611624834874	0.0136342266102492	0.0068538950183885	0.0130944176430048	0	0	0	0.00821568158251575	0	0	0.0114736464682682	0.00603015075376884	0.00559753708368318	0	0	0.00864293085655315	0	0	0.00705882352941176	0	0.00849482346694983	0.0296469319917348	0.00428682774746687	0.0300864361702128	0	0	0.00560795309711955	0	0.00212639278727567	0.0144276253547777	0	0.00780780780780781	0.0051051051051051	0	0	0.00270399236519803	0.00326486192354782	0	0.00519031141868512	0	0	0.00292177191328935	0	0	0.00530549375320897	0	0	0.00353238015138772	0	0	0	0	0	0.00133562297271513	0	0.00719211822660099	0.00841638981173865	0	0.00177523927138006	0	0	0.00809307030854831	0.00224899598393574	0	0.00245351239669421	0.00776815058261129	0	0.00162130862767805	0	0.00315227934044617	0.0040586540979314	0	0	0.00531490831783152	0	0	0	0	0	0	0	0	0	0.00213642606439799	0	0	0	0.00592954307638647	0.00759036144578313	0	0	0.00212675457252233	0.00150478796169631	0	0.00267654931027383	0	0	0	0	0.0040281973816717	0	0.00858369098712446	0.00590277777777778	0.00669856459330144	0	0.00189725627553999	0	0.00340687865022713	0.00472550382209868	0.0159695817490494	0.00919348098620978	0.0046780746029792	0.0057518488085456	0	0.00502933780385583	0.00362897372623022	0	0.00716364450414148	0	0	0.00394417475728155	0.0046268950580823	0.00593276203032301	0	0	0	0.00359543536032515	0.0271053176081109	0	0.00611551528878822	0.00211193241816262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192b6e6ddf4f000c208639fa308e7c0f	0	0.0126816380449141	0	0	0.0241212956581668	0	0	0	0	0	0	0.0200788813194693	0.0182579564489112	0	0	0	0.0229618163054696	0	0	0	0.0258669698692439	0.00809662861693655	0	0	0	0	0.0147043039605023	0	0	0	0	0	0	0.0042042042042042	0	0	0	0	0.0372208436724566	0.0346020761245675	0	0	0	0	0	0.0177990758172172	0	0	0	0	0	0.0103980674298918	0.00837449001503114	0	0.00591490173630986	0	0.014679802955665	0.0188261351052049	0	0.00532571781414017	0	0	0	0.0134939759036145	0.0142715840045217	0	0.0277860770839558	0.0262760495318635	0	0	0.0153572583252506	0.0231736056559309	0.0130226182316655	0	0	0	0	0	0	0	0.00448179271708683	0	0	0.00789218067022827	0	0.043230944254835	0	0	0.00720846413207767	0.0072289156626506	0.0425603217158177	0	0	0	0	0	0	0	0	0	0	0	0.0320049049662784	0.0269097222222222	0	0	0.017221249270286	0	0.0176833225178456	0	0	0	0.00750954081004555	0.0198575732675979	0.0112359550561798	0.0150880134115675	0.0127739875163304	0	0	0.0245087900723888	0.0288216560509554	0	0	0	0	0	0	0.00547131467875567	0	0	0	0.0276311158042943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae9cd843790bbfb685c7a8617d29fe1e	0.00158538426694851	0.00317040951122853	0	0	0.00597289225821273	0	0	0	0	0	0	0	0.0175879396984925	0	0.00848563968668407	0	0.00335397316821465	0	0.00811654526534859	0	0	0.00915848155030528	0	0	0	0	0.00708382526564345	0.0160591384144787	0	0	0.00461210974456008	0	0.0044044044044044	0	0.0127952755905512	0	0	0	0	0.0121107266435986	0	0	0	0.00728469040065797	0	0	0	0.00344020916471721	0.00841042893187553	0.00679910761712525	0.00724384709373364	0.00472639428631446	0.00708610693579558	0.0326721120186698	0.00343445907269605	0	0.0243349753694581	0.0396456256921373	0	0	0	0	0	0.00763052208835341	0.0142715840045217	0.0185950413223141	0.0230056767254258	0.0054364240410752	0	0	0.00945683802133851	0.0113904163393559	0	0.0118881118881119	0	0	0	0	0	0.00629517370016321	0	0	0.0121317157712305	0.0186983972802331	0.0244162978788341	0.024649222601441	0	0	0	0	0	0	0	0.00246238030095759	0	0	0	0.00933202357563851	0	0	0.00080563947633434	0	0.0128755364806867	0.00868055555555556	0.00861244019138756	0	0.00350262697022767	0	0.00259571706683971	0	0	0.0342666109486001	0.0113258648282654	0.00150643659271432	0.0166602092212321	0	0	0.0202808112324493	0	0	0	0	0	0	0	0	0	0.00297014225418165	0	0	0	0.00563181978176698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9fcf885afb77ed7c15f45317bfa7768	0.00536010871206402	0	0	0.00635239050484788	0.0206753962784287	0	0	0	0.0130015155140783	0	0	0	0	0.0128743352924713	0	0	0	0	0	0	0	0	0	0	0.00930851063829787	0	0.0061178490930557	0	0	0	0	0	0	0	0	0	0	0	0.0477667493796526	0.027681660899654	0	0.0119170984455959	0	0.0152743508400893	0	0	0	0	0	0	0	0.00829744774708539	0.0246940090186816	0	0.00954016409082236	0	0.0116256157635468	0	0	0	0	0	0	0.0122088353413655	0	0	0.0334628025097102	0	0	0	0	0	0	0.0398601398601399	0	0	0	0	0	0	0	0	0	0	0.0115977414924462	0	0	0	0	0	0.0472520107238606	0	0.0139302424500213	0.00984952120383037	0	0	0	0	0	0	0	0	0.0088289393010423	0	0	0	0	0	0	0	0	0.0422064354366903	0.00935614920595839	0	0	0	0	0	0	0.0186142709410548	0.0164012738853503	0	0	0	0	0	0.00475453339230429	0.0159449742066594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9bf435eed9aa5680c1758bd93804f8d	0	0	0.00767904717128977	0.134236041457706	0.00298644612910636	0.00109788024660079	0	0	0.0283161840950786	0	0	0.0147006095374686	0	0.0104487358895419	0.00195822454308094	0	0.00490196078431373	0	0.00416233090530697	0	0	0.00544199628351473	0.0317132333123709	0	0.0325797872340426	0	0.0092304389825051	0	0	0	0.000591296121097446	0	0	0	0	0	0.00381740098616192	0.0182288124064753	0.00248138957816377	0.0013840830449827	0	0.106217616580311	0	0.00223240512278228	0	0	0	0	0	0.0018060129607989	0.00261825798568686	0	0	0.0478413068844807	0	0	0	0	0	0	0	0	0.0328780981284775	0	0	0	0	0	0	0	0.000484966052376334	0	0	0	0	0	0	0	0.00646830530401035	0	0	0	0.0199306759098787	0	0	0	0	0	0	0	0	0.00428823033922965	0	0	0	0	0	0.012278978388998	0	0	0	0.00191938579654511	0	0	0.0363636363636364	0	0.00364856976065382	0	0	0.00277970813064628	0	0.0254910154617635	0	0	0	0	0.00595151691101756	0	0	0	0	0.0240695792880259	0.0407560543414058	0	0	0	0.000884564352056612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
