Full_name	Kingdom	Phylum	Class	Order	Family	Genus
k__Fungi | p__Ascomycota | c__Sordariomycetes | Hypocreales | f__Nectriaceae | g__Nectriaceae_gen_Incertae_sedis.2	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Hypocreales 	 f__Nectriaceae 	 g__Nectriaceae_gen_Incertae_sedis.2
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | unassigned | unassigned.4	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 unassigned 	 unassigned.4
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.43	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.43
k__Fungi | p__Ascomycota | c__Sordariomycetes | Myrmecridiales | f__Myrmecridiaceae | g__Myrmecridium	k__Fungi 	 p__Ascomycota 	 c__Sordariomycetes 	 Myrmecridiales 	 f__Myrmecridiaceae 	 g__Myrmecridium
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.44	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.44
k__Fungi | p__Basidiomycota | c__Tremellomycetes | Tremellales | f__Bulleribasidiaceae | g__Vishniacozyma.3	k__Fungi 	 p__Basidiomycota 	 c__Tremellomycetes 	 Tremellales 	 f__Bulleribasidiaceae 	 g__Vishniacozyma.3
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | f__Didymosphaeriaceae | g__Paraphaeosphaeria	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 f__Didymosphaeriaceae 	 g__Paraphaeosphaeria
k__Fungi | p__Fungi_phy_Incertae_sedis | c__Fungi_cls_Incertae_sedis | Fungi_ord_Incertae_sedis | f__Fungi_fam_Incertae_sedis | g__Fungi_gen_Incertae_sedis.47	k__Fungi 	 p__Fungi_phy_Incertae_sedis 	 c__Fungi_cls_Incertae_sedis 	 Fungi_ord_Incertae_sedis 	 f__Fungi_fam_Incertae_sedis 	 g__Fungi_gen_Incertae_sedis.47
k__Fungi | unassigned | unassigned | unassigned | unassigned | unassigned.81	k__Fungi 	 unassigned 	 unassigned 	 unassigned 	 unassigned 	 unassigned.81
k__Fungi | p__Ascomycota | c__Dothideomycetes | Pleosporales | f__Lindgomycetaceae | g__Clohesyomyces	k__Fungi 	 p__Ascomycota 	 c__Dothideomycetes 	 Pleosporales 	 f__Lindgomycetaceae 	 g__Clohesyomyces
