Feature.ID	ECOGEN2023_A1_A7_F2.R1	ECOGEN2023_A1_A7_F2.R2	ECOGEN2023_A1_A7_F2.R5	ECOGEN2023_A1_A7_F2.R6	ECOGEN2023_A1_A7_F4.R1	ECOGEN2023_A2_A8_F2.R1	ECOGEN2023_A2_A8_F2.R2	ECOGEN2023_A2_A8_F2.R5	ECOGEN2023_A2_A8_F2.R6	ECOGEN2023_A2_A8_F4.R1	ECOGEN2023_A2_A8_F4.R2	ECOGEN2023_A3_A9_F2.R1	ECOGEN2023_A3_A9_F2.R2	ECOGEN2023_A3_A9_F2.R5	ECOGEN2023_A4_A10_F4.R1	ECOGEN2023_A6_A12_F2.R1	ECOGEN2023_A6_A12_F2.R5	ECOGEN2023_A6_A12_F4.R1	ECOGEN2023_B1_B7_F4.R2	ECOGEN2023_B2_B8_F2.R1	ECOGEN2023_B2_B8_F2.R2	ECOGEN2023_B2_B8_F2.R5	ECOGEN2023_B3_B9_F2.R2	ECOGEN2023_B3_B9_F2.R6	ECOGEN2023_B3_B9_F4.R1	ECOGEN2023_B3_B9_F4.R2	ECOGEN2023_B4_B10_F4.R1	ECOGEN2023_B5_B11_F2.R1	ECOGEN2023_B5_B11_F2.R5	ECOGEN2023_B5_B11_F4.R5	ECOGEN2023_B6_B12_F4.R1	ECOGEN2023_C1_C7_F2.R1	ECOGEN2023_C1_C7_F2.R2	ECOGEN2023_C1_C7_F2.R5	ECOGEN2023_C1_C7_F2.R6	ECOGEN2023_C1_C7_F4.R1	ECOGEN2023_C2_C8_F2.R1	ECOGEN2023_C2_C8_F2.R2	ECOGEN2023_C2_C8_F2.R5	ECOGEN2023_C2_C8_F3.R2	ECOGEN2023_C2_C8_F3.R6	ECOGEN2023_C2_C8_F4.R6	ECOGEN2023_C3_C9_F2.R1	ECOGEN2023_C3_C9_F2.R2	ECOGEN2023_C3_C9_F2.R5	ECOGEN2023_C3_C9_F2.R6	ECOGEN2023_C3_C9_F4.R2	ECOGEN2023_C4_C10_F2.R1	ECOGEN2023_C4_C10_F2.R2	ECOGEN2023_C4_C10_F2.R5	ECOGEN2023_C4_C10_F4.R1	ECOGEN2023_C5_C11_F4.R1	ECOGEN2023_C6_C12_F2.R1	ECOGEN2023_C6_C12_F2.R5	ECOGEN2023_D1_D7_F2.R6	ECOGEN2023_D1_D7_F3.R2	ECOGEN2023_D1_D7_F3.R6	ECOGEN2023_D1_D7_F4.R2	ECOGEN2023_D1_D7_F4.R6	ECOGEN2023_D2_D8_F2.R2	ECOGEN2023_D2_D8_F2.R6	ECOGEN2023_D2_D8_F4.R1	ECOGEN2023_D2_D8_F4.R2	ECOGEN2023_D3_D9_F2.R1	ECOGEN2023_D3_D9_F2.R2	ECOGEN2023_D3_D9_F2.R5	ECOGEN2023_D3_D9_F4.R1	ECOGEN2023_D3_D9_F4.R2	ECOGEN2023_D4_D10_F2.R1	ECOGEN2023_D4_D10_F2.R2	ECOGEN2023_D4_D10_F2.R5	ECOGEN2023_D4_D10_F4.R1	ECOGEN2023_D5_D11_F4.R1	ECOGEN2023_E1_E7_F2.R2	ECOGEN2023_E1_E7_F2.R6	ECOGEN2023_E1_E7_F4.R1	ECOGEN2023_E1_E7_F4.R2	ECOGEN2023_E2_E8_F2.R1	ECOGEN2023_E2_E8_F2.R2	ECOGEN2023_E2_E8_F2.R5	ECOGEN2023_E2_E8_F2.R6	ECOGEN2023_E2_E8_F4.R2	ECOGEN2023_E3_E9_F2.R1	ECOGEN2023_E3_E9_F2.R2	ECOGEN2023_E3_E9_F2.R5	ECOGEN2023_E3_E9_F2.R6	ECOGEN2023_E3_E9_F3.R1	ECOGEN2023_E3_E9_F3.R5	ECOGEN2023_E3_E9_F4.R2	ECOGEN2023_E4_E10_F4.R1	ECOGEN2023_E5_E11_F2.R1	ECOGEN2023_E5_E11_F2.R5	ECOGEN2023_E6_E12_F2.R1	ECOGEN2023_E6_E12_F2.R5	ECOGEN2023_F1_F7_F2.R1	ECOGEN2023_F1_F7_F2.R2	ECOGEN2023_F1_F7_F2.R5	ECOGEN2023_F1_F7_F2.R6	ECOGEN2023_F1_F7_F3.R1	ECOGEN2023_F1_F7_F3.R5	ECOGEN2023_F1_F7_F4.R1	ECOGEN2023_F1_F7_F4.R2	ECOGEN2023_F1_F7_F4.R5	ECOGEN2023_F2_F8_F2.R2	ECOGEN2023_F2_F8_F2.R6	ECOGEN2023_F2_F8_F4.R1	ECOGEN2023_F5_F11_F2.R1	ECOGEN2023_F5_F11_F2.R5	ECOGEN2023_F5_F11_F4.R1	ECOGEN2023_F6_F12_F4.R1	ECOGEN2023_G2_G8_F2.R1	ECOGEN2023_G2_G8_F2.R2	ECOGEN2023_G2_G8_F2.R5	ECOGEN2023_G2_G8_F2.R6	ECOGEN2023_G2_G8_F4.R1	ECOGEN2023_G3_G9_F2.R1	ECOGEN2023_G3_G9_F2.R2	ECOGEN2023_G3_G9_F2.R5	ECOGEN2023_G3_G9_F4.R1	ECOGEN2023_G4_G10_F2.R1	ECOGEN2023_G4_G10_F2.R5	ECOGEN2023_G6_G12_F2.R1	ECOGEN2023_G6_G12_F4.R1	ECOGEN2023_H1_H7_F2.R2	ECOGEN2023_H1_H7_F2.R6	ECOGEN2023_H1_H7_F4.R1	ECOGEN2023_H1_H7_F4.R2	ECOGEN2023_H1_H7_F4.R6	ECOGEN2023_H2_H8_F2.R1	ECOGEN2023_H2_H8_F2.R2	ECOGEN2023_H2_H8_F2.R5	ECOGEN2023_H3_H9_F2.R1	ECOGEN2023_H3_H9_F2.R2	ECOGEN2023_H3_H9_F2.R5	ECOGEN2023_H4_H10_F2.R1	ECOGEN2023_H4_H10_F2.R5	ECOGEN2023_H4_H10_F4.R1	ECOGEN2023_A1_A7_F2.R3	ECOGEN2023_A1_A7_F5.R2	ECOGEN2023_A2_A8_F2.R3	ECOGEN2023_A2_A8_F5.R2	ECOGEN2023_A2_A8_F5.R3	ECOGEN2023_A4_A10_F5.R2	ECOGEN2023_A6_A12_F2.R2	ECOGEN2023_A6_A12_F5.R2	ECOGEN2023_B1_B7_F5.R3	ECOGEN2023_B3_B9_F2.R3	ECOGEN2023_B3_B9_F4.R5	ECOGEN2023_B3_B9_F5.R2	ECOGEN2023_B3_B9_F5.R3	ECOGEN2023_B4_B10_F5.R2	ECOGEN2023_B5_B11_F2.R2	ECOGEN2023_B5_B11_F5.R5	ECOGEN2023_B6_B12_F5.R2	ECOGEN2023_C1_C7_F2.R3	ECOGEN2023_C1_C7_F5.R2	ECOGEN2023_C2_C8_F4.R3	ECOGEN2023_C3_C9_F2.R3	ECOGEN2023_C3_C9_F5.R3	ECOGEN2023_C4_C10_F5.R2	ECOGEN2023_C5_C11_F5.R2	ECOGEN2023_C6_C12_F2.R2	ECOGEN2023_D1_D7_F4.R3	ECOGEN2023_D1_D7_F5.R3	ECOGEN2023_D2_D8_F2.R3	ECOGEN2023_D2_D8_F5.R2	ECOGEN2023_D2_D8_F5.R3	ECOGEN2023_D3_D9_F5.R2	ECOGEN2023_D3_D9_F5.R3	ECOGEN2023_D4_D10_F5.R2	ECOGEN2023_D5_D11_F5.R2	ECOGEN2023_E1_E7_F2.R3	ECOGEN2023_E1_E7_F5.R2	ECOGEN2023_E1_E7_F5.R3	ECOGEN2023_E2_E8_F2.R3	ECOGEN2023_E2_E8_F5.R3	ECOGEN2023_E3_E9_F2.R3	ECOGEN2023_E3_E9_F4.R5	ECOGEN2023_E3_E9_F5.R3	ECOGEN2023_E4_E10_F5.R2	ECOGEN2023_E5_E11_F2.R2	ECOGEN2023_E6_E12_F2.R2	ECOGEN2023_F1_F7_F2.R3	ECOGEN2023_F1_F7_F5.R2	ECOGEN2023_F1_F7_F5.R3	ECOGEN2023_F2_F8_F2.R3	ECOGEN2023_F2_F8_F4.R2	ECOGEN2023_F5_F11_F2.R2	ECOGEN2023_F5_F11_F5.R2	ECOGEN2023_F6_F12_F5.R2	ECOGEN2023_G2_G8_F2.R3	ECOGEN2023_G2_G8_F5.R2	ECOGEN2023_G3_G9_F5.R2	ECOGEN2023_G4_G10_F2.R2	ECOGEN2023_G6_G12_F2.R2	ECOGEN2023_G6_G12_F2.R5	ECOGEN2023_H1_H7_F2.R3	ECOGEN2023_H1_H7_F5.R2	ECOGEN2023_H1_H7_F5.R3	ECOGEN2023_H4_H10_F2.R2	ECOGEN2023_H4_H10_F5.R2
993d903e6fa0227167c9b1095a2799d7	0.00244498777506112	0.0111176470588235	0	0.0124555160142349	0	0.0680110715697904	0.00690495532087734	0.173110213502597	0.00422261633307998	0.0184632864649908	0.000870985302123027	0.0018309652848982	0.0200078462142016	0.00446967866634453	0.00406141654284299	0.0155053417793325	0.036982520699172	0.010315443265062	0	0.00841184387617766	0	0.0448769937821033	0	0	0.00419635015126378	0	0.00438991445294912	0.000870863398855437	0	0.0133043714363291	0.00298179535467671	0.00270932782866727	0.0938978829389788	0.002003255289846	0.241055638688614	0	0.00566059096569682	0.0404292855042635	0.0106126914660832	0.00673660960795141	0.00576730190571715	0	0.00120554550934298	0	0.00370027752081406	0	0	0	0	0	0.0087432845254398	0.0119128329297821	0	0	0.0599764378279961	0.00909222109972579	0.0132417029835736	0.00214969708813758	0	0.0345622119815668	0.0141247298548935	0	0.00142005112184039	0.00939932442355706	0.0188227241615332	0.0399348003259984	0.00232790156301962	0	0	0.0484278173054854	0	0	0.00127365356622999	0	0.00424847858537145	0.0131054131054131	0.009184372858122	0	0	0.00416995379240392	0	0	0.000553199336160797	0.0114338895167187	0	0.0115079070458089	0	0	0.039607201309329	0.00215169445938677	0	0	0.0203031943692474	0.0227963525835866	0	0.000313755020080321	0	0.0012998266897747	0	0	0.0045013030087657	0	0	0	0	0	0	0	0	0	0.01666088163832	0.0836805555555555	0.0102353065316028	0.122451158321768	0	0.0326086956521739	0.0276365032146627	0.0419287211740042	0	0	0	0.00203237279523844	0.0132033008252063	0.00154279938288025	0	0.00331428571428571	0.00949241924851681	0	0	0	0	0.0123708111493893	0	0.010275874837993	0.0134120479165473	0.0137922227188558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5482759552aa7896ae55b8ac4c15c8fd	0	0.0205882352941176	0	0.0270649934444653	0	0.0911427441676552	0.0126929325751422	0.211079053664166	0.0184950595388903	0.0122141741229939	0	0.00571261168888238	0.00313848568065908	0.00893935733268906	0	0	0	0	0.00275608635737253	0	0.000418497593638837	0.0008110300081103	0.0474422442244224	0.0292796281951975	0.0139553039914121	0.0156156156156156	0.00562809545249887	0	0	0	0.0017263025737602	0	0.010958904109589	0	0.0187729560603999	0	0.0152835956073814	0.00837988826815642	0.0219912472647702	0	0	0	0.0134116937914406	0.0014172335600907	0.0703052728954672	0.00197926484448633	0	0.0147172734314485	0	0.0286192723397777	0.00284420099020331	0.00416464891041162	0	0.0157894736842105	0.060404840955339	0.00649444364266128	0.00804559168622192	0.0252100840336134	0	0.0345622119815668	0.0159771534424205	0.0128918442122405	0.00397614314115308	0.0132177999706271	0.00328542094455852	0.0301548492257539	0.00315929497838377	0.0111580217129071	0	0	0	0.000320958596341072	0.0263828238719068	0	0	0.036039886039886	0.0152159013022618	0.00348297213622291	0.0833505260986177	0.0193846500619858	0.0257521356939458	0.00167331702921869	0	0.00272552017549691	0	0.00371222807929319	0	0.000477270015511275	0.0330605564648118	0.0100412408104716	0	0.0126413838988689	0.0203031943692474	0.0239108409321175	0.0069027804657764	0.00232178714859438	0.0134228187919463	0.0121317157712305	0	0	0.0182421227197347	0	0.00265453166477057	0.0150429799426934	0.0314240254574383	0	0.0046189376443418	0	0.0275360025320462	0	0.0475529330093717	0.0154513888888889	0.055502796243537	0.0228461620582897	0	0.00483091787439614	0.0166970540255254	0.00686106346483705	0	0	0	0.00261305073673514	0.00600150037509377	0.0160663935734426	0.0221503479368813	0.00445714285714286	0.002636783124588	0	0	0	0	0.00501096147823364	0.0144882860665845	0.011479355674875	0.000286582220439044	0	0.0356002365464222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76a3d559501aab2604576b31f70fd6e1	0.0124966041836457	0.00388235294117647	0.00794145126128932	0.00786664169320097	0.00318705565089483	0.0213523131672598	0.00284321689683184	0.0463935372186959	0.00185795118655519	0.00781139042749609	0.00577027762656505	0	0.00241924937884138	0.00326165740517033	0	0.00359270114399168	0.00653173873045078	0.00553146957691733	0.00382789771857296	0.00858008075370121	0	0.0385239253852393	0.0694444444444444	0.046862896979086	0.00868546891773202	0.00570570570570571	0.00574065736154885	0	0	0	0.00674827369742624	0.00393497613211199	0.00062266500622665	0.00425691749092275	0	0	0.0129061474017887	0.00911496618641576	0.0143326039387309	0	0	0.00440414507772021	0.0364677516576251	0.0108654572940287	0.10268270120259	0.0136663524976437	0.00178890876565295	0.0103795507358637	0.00127483267821098	0.0185720809864515	0.00990203307700411	0.00184019370460048	0.0109969788519637	0.0596491228070175	0.0155296133661776	0.00548419685380286	0.00351994636272209	0.00449482118428767	0	0.015180265654649	0.0165174436554492	0.00624236667119012	0.0062482249360977	0.00440593332354237	0.0110198494182067	0.00733496332518337	0.00415696707682075	0	0	0.012623364700482	0.00391705069124424	0	0.0129184861717613	0.00764111412373675	0.0174532093236881	0.00740740740740741	0.0142563399588759	0	0.0486899112853311	0.011044742477178	0.0264949857620404	0.0120993692881967	0	0.00977198697068404	0	0.0105427277451927	0	0	0.0180032733224223	0.011117088040165	0	0	0.0180021656740661	0.0207700101317123	0.00406425391910199	0.0106676706827309	0	0.0398613518197574	0	0	0.007818052594172	0.0185834502103787	0.00606750094804702	0.00214899713467049	0.00298329355608592	0	0	0	0.00633011552460832	0	0.0284623394654634	0.00815972222222222	0.0256410256410256	0.011850112095655	0.00153744783659126	0.0215665976535542	0.00278284233758756	0.0396417000190585	0	0.00444444444444444	0.00613879929247737	0.00609711838571532	0	0.00893759642496143	0.014799568754288	0.00251428571428571	0.0109426499670402	0	0	0	0.000933358222885944	0.0122142186031945	0.0122533908754624	0.0122199592668024	0.00355361953344415	0.00229870378647596	0.00224719101123596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e6131b1048cbd963bc80f6c64727f31	0	0.00223529411764706	0.0116786047960137	0.00309046637947181	0.00330963471439078	0.00375642546461052	0	0	0	0.00383468257349808	0	0.00703090669400908	0	0.0101473785938633	0.0154531946508172	0.00831993949134915	0.00791168353265869	0	0.00704333180217425	0	0.00826532747436702	0	0.00316281628162816	0	0.00204938030643115	0.0035035035035035	0	0.0251306295098283	0.0267993260049747	0	0.00878844946641557	0.0040639917430009	0	0	0	0	0	0.013231402528668	0.00185995623632385	0	0	0	0	0.00576341647770219	0	0.00273327049952875	0	0.00635166537567777	0	0	0	0.0173365617433414	0.00712990936555891	0	0	0	0	0.00781708032050029	0	0	0	0	0	0.00499339110001469	0.0053388090349076	0	0.00282673761223811	0.0135705669481303	0	0	0	0.00663314432438215	0	0.00739462657135815	0.0017223561832587	0	0	0.00541795665634675	0.00144419228388694	0.00180322326158007	0.0023523585489662	0.009525035397091	0	0.00398856611048328	0	0.00675625510431361	0.0649168503305951	0.0713518673189357	0.0117839607201309	0	0.0101606805293006	0.0076988879384089	0.00311315646995127	0.00374873353596758	0	0.006839859437751	0	0.00606585788561525	0.00366358712965913	0.00652560806802452	0	0	0	0	0	0.0331732867743343	0	0.012123745819398	0	0	0	0.00729166666666667	0	0.0128109319953027	0.0130683066110257	0	0	0.003621116828664	0.00841576849254392	0.0131313131313131	0.0146706898345646	0.00486317776003484	0	0.00324519870192052	0	0	0.0025049439683586	0.0115562403697997	0.00774748923959828	0.00425312540275809	0.00634683591562442	0	0	0.006387705980374	0	0.00868399208224251	0.00212891780011827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4fb4e90d7d47e173834067ff3cfeec25	0	0	0	0	0.00612895317479774	0	0.00264012997562957	0	0	0.00411873313449794	0	0	0.00595004576958284	0.00579850205363614	0.00277365032194156	0.00387633544483313	0.0046918123275069	0.0133054268201525	0.00444036135354463	0	0	0.00364963503649635	0	0.00224632068164214	0.00829511076412608	0.0032032032032032	0.00709140027014858	0	0	0	0.00957313245448839	0.00258031221777835	0.0166874221668742	0.00313008639038437	0.00435314923139709	0	0.0087173100871731	0.00779182593354896	0.0115973741794311	0	0	0	0.00527426160337553	0	0	0.00122525918944392	0	0.0099147947327653	0	0	0.00969135152217423	0.014043583535109	0	0	0.00449823283709971	0.00721604849184587	0.00972175662085149	0.0211061168653508	0	0	0.00339610991046619	0.00841362464377799	0.00586954463694026	0	0.00965092402464066	0	0.0131360159627536	0.00799155609167672	0.00208333333333333	0.00436079871471196	0	0	0.0141921397379913	0.00542272615232931	0.00252612240211276	0.0158119658119658	0.00808773132282385	0.00773993808049536	0	0	0.00569518385539185	0.018149053932295	0	0.0112344612111946	0	0.0107654614299503	0	0	0.0189852700490998	0.00663439124977586	0.00897920604914934	0.00589297595285619	0	0.011144883485309	0.0030965744145539	0.00922439759036145	0	0.0103986135181976	0	0	0.0203743188817816	0	0.00834281380356466	0.00549188156638013	0	0	0	0	0	0.00556134862704206	0.00555362721277334	0.0237847222222222	0.00685871056241427	0.0153731183943632	0	0.00810904071773637	0.0146818923327896	0.00638460072422337	0	0	0	0.00348406764898018	0.0225056264066016	0.00531999787200085	0.00519455062236597	0.00548571428571429	0.003295978905735	0	0	0	0	0.00579392420920764	0.00508631319358816	0.0037030179596371	0	0.00268182108422195	0.00993494973388528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b8b1874f76b860cbd0d250b26522aba	0	0.00423529411764706	0	0.00589998126990073	0.00919342976219662	0.00612890470541716	0	0	0	0.0106518960374947	0	0.0031492602900249	0.00738851837321826	0	0.0137691926696384	0	0.00735970561177553	0	0	0	0.0111948106298389	0	0	0	0.00273250707524153	0.0051051051051051	0.0145204862674471	0	0.00136403755115141	0.0233505294596796	0.00674827369742624	0.0021932653851116	0.0064134495641345	0.00212845874546137	0.00326486192354782	0	0	0	0.00317286652078775	0.0153506350082827	0.0165496489468405	0	0	0	0	0.00292177191328935	0	0	0	0	0.00642578742231118	0.00445520581113801	0	0	0.00310592267323551	0.00548419685380286	0.00938652363392558	0.00644909126441274	0	0	0.00177523927138006	0.00447821956846248	0.00426015336552116	0.00925245997943898	0.00164271047227926	0.00448247758761206	0.00532091785833056	0	0	0.00275418866192334	0.00245775729646697	0	0	0.00529948237614	0.0034447123665174	0	0	0	0.00247575820094904	0.00202862616927758	0.00445710040856754	0.00566353456043249	0	0.00272552017549691	0	0.00415769544880837	0.00671208174714486	0.00465338265123494	0.00425531914893617	0.00932400932400932	0	0.00332667997338656	0.00433134813210612	0.00395136778115502	0.0030965744145539	0.00345130522088353	0	0	0	0	0.00426439232409382	0.0136746143057504	0	0	0	0	0	0	0	0.00289653574325107	0	0	0.00274348422496571	0.00427031066510089	0.0110915879639798	0	0.005949524997601	0.00152468076996379	0	0	0.00520237228176048	0.00203237279523844	0.0144036009002251	0.00281959887216045	0	0	0.00593276203032301	0	0	0	0.000280007466865783	0.0103351080488569	0	0.0113867802258841	0.0109474408207715	0.0114296660494221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192b6e6ddf4f000c208639fa308e7c0f	0.0104138368197048	0.0118823529411765	0.0213329180940517	0.00880314665667728	0	0	0	0	0	0	0.0194882961350027	0	0	0	0	0	0	0.020331888174615	0	0	0	0	0	0	0.00809993168732312	0.0042042042042042	0	0	0.00521543769557891	0	0	0	0.0051681195516812	0	0	0	0	0	0.00645514223194748	0	0	0	0	0	0	0	0	0	0	0	0	0.0230508474576271	0.018368580060423	0	0	0	0	0	0	0	0.00532571781414017	0	0.0188393448830825	0	0.0136208076659822	0	0	0	0	0	0	0	0.0145560407569141	0	0	0	0.0130226182316655	0	0	0.013298771554153	0	0	0	0.0146247424051054	0	0.0133640210854555	0	0	0.0147299509001637	0	0.0101606805293006	0	0	0.0155015197568389	0	0	0	0	0	0	0	0.0115708274894811	0.043230944254835	0	0	0.00414666084679179	0	0	0	0	0	0.0253472222222222	0	0.0131312052951852	0	0	0.0135303713655119	0	0	0	0	0	0.0100525131282821	0.006224397510241	0.00588062334607468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae9cd843790bbfb685c7a8617d29fe1e	0.00461831024178212	0.00441176470588235	0	0.0045888743210339	0	0.0055357848952155	0	0.0188113098672822	0	0	0.00206859009254219	0.0018309652848982	0	0.00459048079246195	0.0045567112431897	0	0	0	0	0	0	0.0114895917815626	0	0	0.0142480726066166	0	0	0	0	0	0	0.00154818733066701	0	0	0	0	0.0155100192460093	0	0.0238512035010941	0	0	0	0	0	0	0	0.00344020916471721	0	0.00679910761712525	0.00502359567666311	0.0192773622669335	0	0.00132930513595166	0.0245614035087719	0.00771125629217093	0.027998268148362	0.0217901441501844	0.0025405511041626	0	0.00203307129303334	0	0	0	0	0.00349075975359343	0	0.00565347522447622	0	0	0	0	0	0.00709606986899563	0	0	0.00484330484330484	0	0	0	0.00732559450016905	0	0	0	0.00704646679518713	0	0.00675625510431361	0	0	0.0144026186579378	0	0	0	0.0127233351380617	0.00952380952380952	0.00199987097606606	0.00282379518072289	0	0.0121317157712305	0	0	0.0135039090262971	0	0.024649222601441	0	0	0.0104757747708424	0	0	0	0	0.011454356126345	0	0.0108684182758257	0	0	0.0467563837129055	0	0.0664189060415476	0	0	0	0	0	0.00106399957440017	0.0028423012839361	0.00194285714285714	0	0	0	0	0.00252006720179205	0.00595051675540244	0	0	0.00928526394222502	0.0144307515484324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9fcf885afb77ed7c15f45317bfa7768	0	0.0158235294117647	0	0.021539614159955	0.0185094385878892	0	0	0	0	0	0	0	0.0115731659474304	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156461053579469	0	0.00673995025274813	0	0	0	0	0	0	0	0	0	0.0108315098468271	0	0	0.0119170984455959	0.00979505726341169	0	0	0	0	0	0	0.000608920688080377	0	0.0112348668280872	0.00809667673716012	0	0	0	0	0.0275552081297635	0	0	0	0.00515673768489619	0.0099403578528827	0	0.0195071868583162	0	0	0	0	0	0	0	0.0121906841339156	0	0	0	0	0	0.0146482360222818	0	0	0	0	0.00824303662833211	0	0.00972603756774816	0	0	0.0219312602291326	0.0116550116550117	0	0.00285143997718848	0.010693015701137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0091811679299669	0	0	0	0	0	0	0.0188325876599729	0	0	0.0179815928073629	0.0176418700382241	0	0	0	0	0	0	0	0	0.00860951675615627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9bf435eed9aa5680c1758bd93804f8d	0	0.000941176470588235	0	0.00168570893425735	0	0.000593119810201661	0.000203086921202275	0	0.00109788024660079	0.0269848032949865	0	0.00175772667350227	0.0269386687589905	0.00253684464846581	0.0096087171867261	0.00359270114399168	0.00459981600735971	0.00284048437733592	0	0	0	0	0	0	0.00029276861520445	0	0.00810445745159838	0	0	0	0	0.00432202296477874	0.00504358655043587	0.00475773131338425	0.0182288124064753	0	0	0	0	0	0	0.106217616580311	0	0	0.00277520814061055	0	0	0	0.0018060129607989	0	0.00358158643210787	0	0	0	0.00524793830994966	0	0	0	0	0	0	0.00407110869860225	0	0.0157144955206345	0	0.0313773431132844	0	0	0	0	0	0.0057772547341393	0	0.00283460685235396	0.00539671604087725	0	0	0	0	0	0	0.00424765092032437	0.0059007929190485	0.0016619025460347	0.0383456587236374	0	0	0	0.0104746317512275	0	0	0	0.000947482403898213	0	0.00109670343848784	0.00257279116465863	0	0.0199306759098787	0	0	0.00165837479270315	0.0213884992987377	0	0	0	0.0139676996944566	0	0	0	0.00208550573514077	0	0	0	0	0	0	0.00719700604548508	0.00657518582046884	0	0	0	0	0.0225056264066016	0	0	0.0048	0	0	0	0	0	0.00689007203257125	0	0.0188853915941492	0.019774173210294	0.0199859523657493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
