Feature.ID	ECOGEN2023_A1_A7_F2.R6	ECOGEN2023_A1_A7_F4.R2	ECOGEN2023_A1_A7_F4.R6	ECOGEN2023_A3_A9_F2.R2	ECOGEN2023_A3_A9_F2.R6	ECOGEN2023_A3_A9_F4.R2	ECOGEN2023_A4_A10_F2.R1	ECOGEN2023_A4_A10_F2.R2	ECOGEN2023_A4_A10_F2.R5	ECOGEN2023_A4_A10_F3.R1	ECOGEN2023_A4_A10_F3.R5	ECOGEN2023_A4_A10_F4.R2	ECOGEN2023_A4_A10_F4.R5	ECOGEN2023_A5_A11_F2.R1	ECOGEN2023_A5_A11_F2.R5	ECOGEN2023_B1_B7_F2.R6	ECOGEN2023_B1_B7_F4.R1	ECOGEN2023_B1_B7_F4.R5	ECOGEN2023_B1_B7_F4.R6	ECOGEN2023_B2_B8_F2.R6	ECOGEN2023_B2_B8_F4.R2	ECOGEN2023_B4_B10_F3.R1	ECOGEN2023_B4_B10_F3.R5	ECOGEN2023_B4_B10_F4.R2	ECOGEN2023_B4_B10_F4.R5	ECOGEN2023_B5_B11_F4.R1	ECOGEN2023_C2_C8_F2.R2	ECOGEN2023_C2_C8_F2.R6	ECOGEN2023_C2_C8_F4.R5	ECOGEN2023_D1_D7_F2.R2	ECOGEN2023_D1_D7_F2.R6	ECOGEN2023_D2_D8_F3.R1	ECOGEN2023_D2_D8_F3.R5	ECOGEN2023_D2_D8_F4.R2	ECOGEN2023_D2_D8_F4.R5	ECOGEN2023_D5_D11_F3.R1	ECOGEN2023_D5_D11_F3.R5	ECOGEN2023_D6_D12_F4.R1	ECOGEN2023_E1_E7_F3.R2	ECOGEN2023_E1_E7_F3.R6	ECOGEN2023_E1_E7_F4.R6	ECOGEN2023_E2_E8_F3.R1	ECOGEN2023_E2_E8_F3.R5	ECOGEN2023_E2_E8_F4.R1	ECOGEN2023_E2_E8_F4.R2	ECOGEN2023_E6_E12_F3.R1	ECOGEN2023_E6_E12_F3.R5	ECOGEN2023_E6_E12_F4.R1	ECOGEN2023_F2_F8_F3.R1	ECOGEN2023_F2_F8_F3.R5	ECOGEN2023_F2_F8_F4.R5	ECOGEN2023_F3_F9_F2.R1	ECOGEN2023_F3_F9_F2.R2	ECOGEN2023_F3_F9_F2.R5	ECOGEN2023_F6_F12_F2.R1	ECOGEN2023_G1_G7_F2.R1	ECOGEN2023_G1_G7_F2.R2	ECOGEN2023_G1_G7_F2.R5	ECOGEN2023_G1_G7_F2.R6	ECOGEN2023_G3_G9_F2.R6	ECOGEN2023_G3_G9_F4.R6	ECOGEN2023_G5_G11_F3.R1	ECOGEN2023_G5_G11_F3.R5	ECOGEN2023_G6_G12_F3.R1	ECOGEN2023_G6_G12_F3.R5	ECOGEN2023_G6_G12_F4.R5	ECOGEN2023_H1_H7_F2.R1	ECOGEN2023_H1_H7_F2.R2	ECOGEN2023_H1_H7_F2.R5	ECOGEN2023_H2_H8_F2.R6	ECOGEN2023_H2_H8_F4.R6	ECOGEN2023_H3_H9_F4.R1	ECOGEN2023_H3_H9_F4.R5	ECOGEN2023_H6_H12_F3.R1	ECOGEN2023_H6_H12_F3.R5	ECOGEN2023_H6_H12_F4.R5	ECOGEN2023_A1_A7_F5.R3	ECOGEN2023_A3_A9_F2.R3	ECOGEN2023_A3_A9_F5.R3	ECOGEN2023_A5_A11_F2.R2	ECOGEN2023_B1_B7_F5.R2	ECOGEN2023_B1_B7_F5.R5	ECOGEN2023_B2_B8_F4.R6	ECOGEN2023_B2_B8_F5.R3	ECOGEN2023_B5_B11_F5.R2	ECOGEN2023_C2_C8_F2.R3	ECOGEN2023_C2_C8_F5.R5	ECOGEN2023_C4_C10_F4.R5	ECOGEN2023_D1_D7_F2.R3	ECOGEN2023_D5_D11_F4.R2	ECOGEN2023_D5_D11_F4.R5	ECOGEN2023_D6_D12_F5.R2	ECOGEN2023_E1_E7_F4.R3	ECOGEN2023_E2_E8_F4.R5	ECOGEN2023_E2_E8_F5.R2	ECOGEN2023_E6_E12_F4.R2	ECOGEN2023_E6_E12_F4.R5	ECOGEN2023_E6_E12_F5.R2	ECOGEN2023_F2_F8_F4.R2	ECOGEN2023_F2_F8_F5.R5	ECOGEN2023_F6_F12_F2.R2	ECOGEN2023_G1_G7_F2.R3	ECOGEN2023_G4_G10_F4.R5	ECOGEN2023_G5_G11_F4.R2	ECOGEN2023_G5_G11_F4.R5	ECOGEN2023_G6_G12_F4.R2	ECOGEN2023_H3_H9_F5.R2	ECOGEN2023_H3_H9_F5.R5	ECOGEN2023_H6_H12_F4.R2
993d903e6fa0227167c9b1095a2799d7	0.0124555160142349	0.00952858575727182	0.0445669653112796	0.0200078462142016	0.0182659328387972	0	0	0.00154130702836005	0	0.0409997432166396	0.0546501826355718	0.00799793601651187	0	0	0	0.00198156285000431	0.0130325112107623	0.00248275862068966	0.0569818409517846	0.01187195251219	0.0257593646023398	0.0626314042270665	0.0645609163484901	0	0	0	0.0404292855042635	0.495088408644401	0.0168224299065421	0.104531410916581	0.0599764378279961	0	0.00358744394618834	0.00142005112184039	0	0.0127644693128169	0.00782268578878748	0.0396843815270364	0.0051608652684748	0.00273448181569593	0	0.0170105686965274	0.0145233075661747	0.00877306154044639	0	0.000570179606576071	0.000625488663017983	0.0103181427343078	0.00368173450603395	0.00552242102937928	0	0	0.00233784591964334	0	0	0.016618569011842	0.0117749672917575	0.0380695075524991	0.0305106519644578	0.038866108040649	0.00649205283187822	0.00545023696682464	0.00441449814126394	0.0520515058926233	0.0689201053555751	0	0.0312281403017887	0.00154279938288025	0.152309913378248	0	0.0240717432347388	0.00187040748162993	0.0093603744149766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5482759552aa7896ae55b8ac4c15c8fd	0.0270649934444653	0	0	0.00313848568065908	0.00271197256121879	0	0.00283050283050283	0	0.00113696657318275	0	0	0	0	0	0	0	0.0263452914798206	0	0	0	0.0242567350005367	0.00420493526612814	0.00833044081916001	0	0	0	0.00837988826815642	0.0943025540275049	0	0.100283213182286	0.060404840955339	0	0.000717488789237668	0.00397614314115308	0	0	0	0.00881875145045254	0	0.00314465408805031	0.00332115576220525	0.00110719677906392	0.0009369875849145	0	0.00167331702921869	0	0	0	0	0	0.00137362637362637	0	0	0	0	0	0.00185346707370257	0	0.00449630660528851	0.0215724728115529	0	0	0	0	0	0	0.0134905566103727	0.0160663935734426	0.104667949951877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
76a3d559501aab2604576b31f70fd6e1	0.00786664169320097	0.00317619525242394	0.0135538708936366	0.00241924937884138	0.00223338916806253	0	0.0014985014985015	0.00146424167694205	0.00303191086182066	0.00333818368569717	0.00238831132340545	0.0189628482972136	0.00188560653676933	0	0	0.000516929439131559	0.00742713004484305	0	0	0	0.0158849415047762	0.0153812105787319	0.0211732037486984	0	0	0	0.00911496618641576	0.068762278978389	0.00841121495327103	0.0204685890834192	0.0155296133661776	0	0	0.0062482249360977	0.0247850278199292	0.00297254764819024	0.00782268578878748	0.00464144813181713	0.00241572416822225	0.00478534317746787	0.00797077382929259	0.00473074987418218	0.00421644413211525	0	0.0120993692881967	0	0	0.00917168243049584	0	0.00751049259995582	0	0	0	0	0.000604676162321957	0.026221514578565	0.00812254688181422	0.045069384747636	0.00974199764479178	0.00196113389195935	0	0	0	0.00240069838498472	0.00263388937664618	0	0.0164384930548616	0.00893759642496143	0.0572666025024062	0	0	0.00334001336005344	0.00442017680707228	0	0	0.0149595212953185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9e6131b1048cbd963bc80f6c64727f31	0.00309046637947181	0	0	0	0	0.0296893432953205	0.00482850482850483	0.00524044389642417	0.00697339498218752	0	0	0	0.0125707102451289	0.021029810298103	0.0167815900972003	0	0	0	0	0.00466398134407462	0	0.00652871528162001	0.00659493231516834	0.0093347357349461	0.0155400155400155	0.0278028933092224	0.013231402528668	0	0.00560747663551402	0	0	0.0075838599902771	0.0157847533632287	0	0	0.00909249868858192	0.015645371577575	0.0053376653515897	0	0.00273448181569593	0.00564596479574892	0.00875691997986915	0.0124150855001171	0.0410269642626758	0.009525035397091	0	0	0	0	0.00839407996465651	0	0	0	0	0.00866702499328138	0.00144292964474077	0.00125381596162233	0	0.00224815330264426	0	0	0.0175355450236967	0.016728624535316	0.00392841553906591	0.006438396254024	0.00621639784946237	0.00479664235035475	0.00324519870192052	0	0.00474743638435245	0.00991189427312775	0.00494321977287909	0.0111804472178887	0.00339979784985758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4fb4e90d7d47e173834067ff3cfeec25	0	0.00752256770310933	0.0147025040202159	0.00595004576958284	0.00853473717795326	0	0	0.00855425400739827	0	0.00975776769665326	0	0.00657894736842105	0	0.00238482384823848	0	0.00577237873696907	0.0170964125560538	0	0.0313087038196619	0	0.0122356981861114	0.00918446387075357	0	0	0.0388500388500388	0.0055379746835443	0.00779182593354896	0	0	0	0.00449823283709971	0.00427807486631016	0	0.00586954463694026	0.0161861406170966	0.00402168211225739	0	0.0348108609886284	0.00746678379268694	0.0117582718074925	0.0381932912653603	0.0058379466532461	0.00890138205668775	0.00425751515933428	0.018149053932295	0	0	0.00845514474061336	0.00797709142974023	0.00684780207643031	0	0	0.00173979231229272	0	0.00362805697393174	0.00338342123594387	0.00703227213257741	0	0.0053527459586768	0.0135496523444464	0.00492500559659727	0	0	0.0144041903099083	0.0156570090722856	0	0.00629559308484061	0.00531999787200085	0	0	0	0.00801603206412826	0.00884035361414457	0	0	0.0161914818725801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5b8b1874f76b860cbd0d250b26522aba	0.00589998126990073	0.0068538950183885	0.0130944176430048	0.00738851837321826	0.00821568158251575	0	0.00283050283050283	0.0120221948212084	0.00538164177973168	0.00564923392964136	0.00828884518123068	0.00864293085655315	0	0.0157181571815718	0.0122123452687547	0.00723701214784182	0.00826793721973094	0	0	0.00381598473606106	0	0.0136107115193095	0.0236029156542867	0.0151196423875887	0.0497280497280497	0.00214737793851718	0	0	0	0	0.00310592267323551	0.00807000486144871	0.00663677130044843	0.00426015336552116	0.00809307030854831	0.00454624934429096	0.0117340286831812	0	0.0108707587570001	0.0101175827180749	0	0.00946149974836437	0.0133520730850316	0.0263191846213392	0.00566353456043249	0.00313598783616839	0	0.0192032100888507	0.0040908161178155	0.00530152418820411	0.029532967032967	0.00832659660468876	0.00086989615614636	0	0.00167965600644988	0.00945367698278436	0.00479720889664195	0.0158418273363625	0.00396103200942083	0	0.00716364450414148	0.00462085308056872	0.00371747211895911	0.0197512003491925	0.0188762071992976	0.00789650537634409	0.00479664235035475	0.00281959887216045	0	0.00094948727687049	0.00471994965387036	0.00574482297929192	0.0111804472178887	0.0226040613801342	0.0283411685695097	0.00211193241816262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
192b6e6ddf4f000c208639fa308e7c0f	0.00880314665667728	0	0.0241212956581668	0	0	0	0.00682650682650683	0	0.00485105737891306	0	0	0.0229618163054696	0	0	0	0	0.0191984304932735	0	0	0	0.0147043039605023	0.0118402124598871	0	0	0	0	0	0	0	0	0	0	0	0.0188393448830825	0	0	0	0.0181016477140868	0	0.00587913590374624	0	0	0	0	0	0	0	0	0	0.0234150651645681	0	0	0	0	0	0	0.00681421718273005	0	0.011776041109089	0	0	0.0101895734597156	0.0157992565055762	0	0	0	0.00504646747276906	0.006224397510241	0	0	0	0	0	0	0	0.0276311158042943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ae9cd843790bbfb685c7a8617d29fe1e	0.0045888743210339	0	0.00597289225821273	0	0	0	0.0174825174825175	0	0.0200864094595619	0	0	0.00335397316821465	0	0	0	0	0.00896860986547085	0	0	0	0.00708382526564345	0.0133893991368817	0.02290871225269	0	0	0	0	0	0.0130841121495327	0.010427394438723	0.00771125629217093	0	0	0	0	0	0	0	0.00867464587679807	0.00601585999453104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00926733536851287	0	0.0173428969061128	0	0	0	0	0	0	0	0.0143899270510643	0.00106399957440017	0.0656881616939365	0	0.00188797986154814	0.00748162992651971	0	0	0	0.00563181978176698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9fcf885afb77ed7c15f45317bfa7768	0.021539614159955	0.00635239050484788	0.0206753962784287	0.0115731659474304	0.0130015155140783	0	0	0	0.00341089971954825	0	0	0	0	0	0	0	0.0093890134529148	0	0	0	0.0061178490930557	0.01305743056324	0.0319333564734467	0	0	0.0320976491862568	0	0	0	0.00270339855818744	0	0	0	0.0099403578528827	0	0	0	0.0204223717799954	0.0173492917535961	0.0196882690730107	0	0	0	0	0	0	0	0	0	0	0.0322802197802198	0	0	0	0.013773179252889	0	0.0135739206279983	0	0.0145594690076009	0	0	0	0	0	0	0	0.00424702708104327	0.0179815928073629	0	0	0	0.0191048764195057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f9bf435eed9aa5680c1758bd93804f8d	0.00168570893425735	0.134236041457706	0.00298644612910636	0.0269386687589905	0.0283161840950786	0	0	0.00678175092478422	0	0.00136951125567063	0	0.00490196078431373	0	0.00856368563685637	0.0127938855196478	0.0215387266304816	0.00490470852017937	0.000827586206896552	0.023794614902943	0.00296798812804749	0.0092304389825051	0.00597543432555051	0.00833044081916001	0	0	0.00384267631103074	0	0	0.0457943925233645	0.00682286302780638	0.00524793830994966	0	0	0	0.0328780981284775	0.0075187969924812	0	0	0.00713736686065664	0.00779327317473339	0.0053138492195284	0	0	0.00645078054444588	0.00424765092032437	0.00114035921315214	0	0.00286615075952995	0	0	0.0171703296703297	0	0.00130484423421954	0	0.00214995968825585	0.00383122698775998	0.00305276929786306	0.00859634041508044	0.00620918531206509	0.00632911392405063	0	0	0	0.00414666084679179	0	0	0.00554611771759768	0	0.0375360923965351	0.00389289783516901	0.00377595972309629	0.00921843687374749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
