"AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.200626959247649","8.389727092034226E-4","c__Actinobacteria","0.4544159544159544","0.3891348088531187","71","3","f__Pseudonocardiaceae","g__Pseudonocardia.8","false","d__Bacteria","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Pseudonocardiales |  f__Pseudonocardiaceae |  g__Pseudonocardia.8","72.46478873239437","0","71","Pseudonocardiales","0","p__Actinobacteriota","0.9960635181664012","false","0","d__Bacteria |  p__Actinobacteriota |  c__Actinobacteria | Pseudonocardiales |  f__Pseudonocardiaceae |  g__Pseudonocardia.8","31128","0.10441612209278728"
"1.9373040752351096","0.002745270483591167",,"0.5161812297734628","0.3195001453065969","186","3",,,"false",,"d__Bacteria |  p__Actinobacteriota |  c__Thermoleophilia | Solirubrobacterales | 0.996725568 | ","130.76344086021504","0","186",,"0",,"0.9969268718844752","false","0","d__Bacteria |  p__Actinobacteriota |  c__Thermoleophilia | Solirubrobacterales | 0.996725568 | ","114936","0.1573567278702949"
"2.006269592476489","0.0023974821740971736","c__Bacteroidia","0.49843750000000003","0.3022790883646541","123","3","f__Flavobacteriaceae","g__Flavobacterium.7","false","d__Bacteria","d__Bacteria |  p__Bacteroidota |  c__Bacteroidia | Flavobacteriales |  f__Flavobacteriaceae |  g__Flavobacterium.7","124.21951219512195","0","123","Flavobacteriales","0","p__Bacteroidota","0.9967007554345033","false","0","d__Bacteria |  p__Bacteroidota |  c__Bacteroidia | Flavobacteriales |  f__Flavobacteriaceae |  g__Flavobacterium.7","97764","0.15002356545304585"
"2.0417972831765936","9.990313310506477E-4","c__Chloroflexia","0.48976458546571133","0.3661606812291744","74","3","f__Chloroflexaceae","g__FFCH7168.1","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__Chloroflexia | Chloroflexales |  f__Chloroflexaceae |  g__FFCH7168.1","97.14864864864865","0","74","Chloroflexales","0","p__Chloroflexi","0.9965842712026997","false","0","d__Bacteria |  p__Chloroflexi |  c__Chloroflexia | Chloroflexales |  f__Chloroflexaceae |  g__FFCH7168.1","53900","0.11524157609566862"
"1.9247648902821317","0.0035114772218369046","c__Chloroflexia","0.5195439739413681","0.28446899938612646","181","3","f__Herpetosiphonaceae","g__Herpetosiphon","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__Chloroflexia | Chloroflexales |  f__Herpetosiphonaceae |  g__Herpetosiphon","120.65745856353591","0","181","Chloroflexales","0","p__Chloroflexi","0.9969679839662882","false","0","d__Bacteria |  p__Chloroflexi |  c__Chloroflexia | Chloroflexales |  f__Herpetosiphonaceae |  g__Herpetosiphon","162574","0.14228473887209422"
"2.233019853709509","8.777450853028138E-4","c__Chloroflexia","0.44782405240992046","0.40613432046536224","62","3","f__Roseiflexaceae","g__uncultured.1","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__Chloroflexia | Chloroflexales |  f__Roseiflexaceae |  g__uncultured.1","74.87096774193549","0","62","Chloroflexales","0","p__Chloroflexi","0.9959573119550509","false","0","d__Bacteria |  p__Chloroflexi |  c__Chloroflexia | Chloroflexales |  f__Roseiflexaceae |  g__uncultured.1","28818","0.11141513056835638"
"2.0480668756530824","0.001374745174084775","c__Chloroflexia","0.488265306122449","0.3553058676654182","90","3","f__Roseiflexaceae","0.709136627","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__Chloroflexia | Chloroflexales |  f__Roseiflexaceae | 0.709136627","93.47777777777777","0","90","Chloroflexales","0","p__Chloroflexi","0.9965637151617931","false","0","d__Bacteria |  p__Chloroflexi |  c__Chloroflexia | Chloroflexales |  f__Roseiflexaceae | 0.709136627","63668","0.11385843821897415"
"2.211076280041797","0.0016109431022131185","c__Ktedonobacteria","0.4522684310018904","0.3846790890269151","70","3","f__C0119","g__C0119.1","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__Ktedonobacteria | C0119 |  f__C0119 |  g__C0119.1","69.3","0","70","C0119","0","p__Chloroflexi","0.9960292580982235","false","0","d__Bacteria |  p__Chloroflexi |  c__Ktedonobacteria | C0119 |  f__C0119 |  g__C0119.1","41828","0.10116788321167883"
"2.052246603970742","0.0015868972961015388","c__Ktedonobacteria","0.4872708757637474","0.29484029484029484","111","3","f__C0119","g__C0119.2","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__Ktedonobacteria | C0119 |  f__C0119 |  g__C0119.2","96.36936936936937","0","111","C0119","0","p__Chloroflexi","0.9965500111345222","false","0","d__Bacteria |  p__Chloroflexi |  c__Ktedonobacteria | C0119 |  f__C0119 |  g__C0119.2","65592","0.12106704694644393"
"2.0929989550679204","8.919667102590393E-4","c__Ktedonobacteria","0.47778332501248133","0.4192982456140351","76","3","f__C0119","g__C0119.4","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__Ktedonobacteria | C0119 |  f__C0119 |  g__C0119.4","86.69736842105263","0","76","C0119","0","p__Chloroflexi","0.9964163968686298","false","0","d__Bacteria |  p__Chloroflexi |  c__Ktedonobacteria | C0119 |  f__C0119 |  g__C0119.4","38142","0.10946637426900585"
"2.0470219435736676","0.0015165869081484983","c__TK10","0.4885145482388974","0.2998168498168498","105","3","f__TK10","g__TK10.21","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.21","96.2","0","105","TK10","0","p__Chloroflexi","0.9965671411686109","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.21","66568","0.11920693928128873"
"2.2539184952978055","4.765444726370025E-4","c__TK10","0.4436717663421419","0.43665158371040724","52","3","f__TK10","g__TK10.22","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.22","78.98076923076923","0","52","TK10","0","p__Chloroflexi","0.9958887918186957","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.22","17022","0.11945769812638193"
"2.2225705329153604","6.918104688012889E-4","c__TK10","0.44992947813822287","0.3288084464555053","52","4","f__TK10","g__TK10.24","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.24","78.61538461538461","0","52","TK10","0","p__Chloroflexi","0.9959915720232283","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.24","23826","0.11344211344211344"
"2.044932079414838","0.001807738141196791","c__TK10","0.48901379662749106","0.3451293759512938","73","3","f__TK10","g__TK10.28","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.28","83.9041095890411","0","73","TK10","0","p__Chloroflexi","0.9965739931822465","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.28","68478","0.0997670744221654"
"2.1640543364681295","9.493810447526031E-4","c__TK10","0.4620956059874457","0.29057512797350193","82","3","f__TK10","g__TK10.38","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.38","99.1219512195122","0","82","TK10","0","p__Chloroflexi","0.9961834284050225","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.38","35540","0.1380528568516883"
"2.090909090909091","0.0020725366483226705","c__TK10","0.4782608695652174","0.3188736681887367","73","3","f__TK10","g__TK10.45","false","d__Bacteria","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.45","75.41095890410959","0","73","TK10","0","p__Chloroflexi","0.9964232488822654","false","0","d__Bacteria |  p__Chloroflexi |  c__TK10 | TK10 |  f__TK10 |  g__TK10.45","62404","0.0946185180729104"
