Factor	Core_group_value	edge	sig	Category	Kingdom
Temp_low_Week1	Chaetothyriales_number_ASVs	-0.072343579	0.020916471	Climatic_conditions	Fungi
Temp_low_Week1	Hypocreales_number_ASVs	0.230133634	0.009682491	Climatic_conditions	Fungi
Temp_low_Week1	Propionibacteriales_number_ASVs	0.255868835	0.000294548	Climatic_conditions	Bacteria
Temp_low_Week1	Rhizobiales_number_ASVs	-0.305078253	2.82E-05	Climatic_conditions	Bacteria
Temp_low_Week1	Sphingomonadales_number_ASVs	-0.19920421	0.000238143	Climatic_conditions	Bacteria
Temp_low_Week1	Xylariales_number_ASVs	-0.169667501	0.020917609	Climatic_conditions	Fungi
Temp_low_Week2	Chaetothyriales_number_ASVs	-0.262945732	1.17E-05	Climatic_conditions	Fungi
Temp_low_Week2	Helotiales_number_ASVs	-0.103335611	0.027791121	Climatic_conditions	Fungi
Temp_low_Week2	Sphingomonadales_number_ASVs	0.060279605	0.011945938	Climatic_conditions	Bacteria
Temp_low_Week3	Caulobacterales_number_ASVs	0.151217932	0.035425971	Climatic_conditions	Bacteria
Temp_low_Week3	Chaetothyriales_number_ASVs	-0.224738968	0.000394861	Climatic_conditions	Fungi
Temp_low_Week3	Pleosporales_number_ASVs	-0.117627196	0.041251333	Climatic_conditions	Fungi
Temp_low_Week3	Propionibacteriales_number_ASVs	-0.153041036	0.001928526	Climatic_conditions	Bacteria
Temp_low_Week3	Solirubrobacterales_number_ASVs	-0.206292726	0.000258119	Climatic_conditions	Bacteria
Temp_low_Week3	Sphingomonadales_number_ASVs	0.133260916	0.000518473	Climatic_conditions	Bacteria
Temp_low_Week4	Microtrichales_number_ASVs	-0.158510523	0.002167638	Climatic_conditions	Bacteria
Temp_low_Week4	Solirubrobacterales_number_ASVs	-0.127240933	0.014993959	Climatic_conditions	Bacteria
Total_nitrogen	Chaetothyriales_number_ASVs	0.17489227	0.010714899	Soil_properties	Fungi
Total_nitrogen	Hypocreales_number_ASVs	-0.109467805	0.023516305	Soil_properties	Fungi
WHC	Burkholderiales_number_ASVs	-0.068579801	0.022823466	Soil_properties	Bacteria
Wind_high_Week1	Burkholderiales_number_ASVs	-0.099117921	0.019863812	Climatic_conditions	Bacteria
Wind_high_Week1	Caulobacterales_number_ASVs	0.287992368	0.00024833	Climatic_conditions	Bacteria
Wind_high_Week1	Propionibacteriales_number_ASVs	-0.15603339	0.004686337	Climatic_conditions	Bacteria
Wind_high_Week1	Rhizobiales_number_ASVs	0.08637141	0.04154598	Climatic_conditions	Bacteria
Wind_high_Week1	Sphingomonadales_number_ASVs	0.101741018	0.004713645	Climatic_conditions	Bacteria
Wind_high_Week2	Burkholderiales_number_ASVs	-0.249040467	1.91E-05	Climatic_conditions	Bacteria
Wind_high_Week2	Caulobacterales_number_ASVs	0.201189072	0.037486297	Climatic_conditions	Bacteria
Wind_high_Week2	Propionibacteriales_number_ASVs	-0.131963594	0.004914956	Climatic_conditions	Bacteria
Wind_high_Week2	Rhizobiales_number_ASVs	0.222210329	0.039442065	Climatic_conditions	Bacteria
Wind_high_Week2	Sphingomonadales_number_ASVs	0.190116542	0.003557197	Climatic_conditions	Bacteria
Wind_high_Week3	Caulobacterales_number_ASVs	0.166865194	0.011935698	Climatic_conditions	Bacteria
Wind_high_Week4	Caulobacterales_number_ASVs	0.188821783	0.005028046	Climatic_conditions	Bacteria
Wind_high_Week4	Microtrichales_number_ASVs	0.163786508	0.038327543	Climatic_conditions	Bacteria
Wind_high_Week4	Rhizobiales_number_ASVs	0.096458485	0.039704435	Climatic_conditions	Bacteria
Wind_high_Week4	Xylariales_number_ASVs	0.137367789	0.012637876	Climatic_conditions	Fungi
Wind_low_Week2	Caulobacterales_number_ASVs	0.154045109	0.0449847	Climatic_conditions	Bacteria
Windgust_Week1	Caulobacterales_number_ASVs	0.275239996	0.000614267	Climatic_conditions	Bacteria
Windgust_Week1	Microtrichales_number_ASVs	0.163100657	0.012783429	Climatic_conditions	Bacteria
Windgust_Week1	Propionibacteriales_number_ASVs	-0.143908057	0.005868718	Climatic_conditions	Bacteria
Windgust_Week1	Rhizobiales_number_ASVs	0.124383684	0.027977467	Climatic_conditions	Bacteria
Windgust_Week1	Sphingomonadales_number_ASVs	0.102902666	0.024253878	Climatic_conditions	Bacteria
Windgust_Week2	Burkholderiales_number_ASVs	-0.242280634	0.000400305	Climatic_conditions	Bacteria
Windgust_Week2	Chaetothyriales_number_ASVs	-0.151721234	0.022900656	Climatic_conditions	Fungi
Windgust_Week2	Helotiales_number_ASVs	-0.130635712	0.049668937	Climatic_conditions	Fungi
Windgust_Week2	Pleosporales_number_ASVs	-0.186359203	0.02708876	Climatic_conditions	Fungi
Windgust_Week2	Propionibacteriales_number_ASVs	-0.094324088	0.003823139	Climatic_conditions	Bacteria
Windgust_Week2	Rhizobiales_number_ASVs	0.171063687	0.017075113	Climatic_conditions	Bacteria
Windgust_Week2	Sphingomonadales_number_ASVs	0.166065785	0.000201993	Climatic_conditions	Bacteria
Windgust_Week3	Microtrichales_number_ASVs	0.089508379	0.047935335	Climatic_conditions	Bacteria
Windgust_Week3	Propionibacteriales_number_ASVs	-0.103288272	0.028528791	Climatic_conditions	Bacteria
Windgust_Week4	Caulobacterales_number_ASVs	0.183157624	0.001004697	Climatic_conditions	Bacteria
Windgust_Week4	Chaetothyriales_number_ASVs	-0.097392533	0.0290484	Climatic_conditions	Fungi
Windgust_Week4	Microtrichales_number_ASVs	0.213164583	4.75E-05	Climatic_conditions	Bacteria
