Feature ID	Taxon	Phylum	Algae_group	Class	Order	Family	Genus	Genus_clean	Genus_abundant	species	confidence
b39b471e3de537dfe42cb21ee594f80c	d__Eukaryota	Amoebozoa	Other eukaryotes	Discosea	 o__Vannellida	 f__Vannellida	 g__uncultured	Vannella	others	sp.	0.966267488
b39bf1b6c18f4c727c978df6e65793f8	d__Eukaryota	unassigned	Other eukaryotes						others		
b39c2ed0c213788006cf1acd1803c633	d__Eukaryota	unassigned	Other eukaryotes						others		
b39ef93713e55e3db2722486ccbba158	d__Eukaryota	unassigned	Other eukaryotes						others		
b3a2626b179b3c31b6b0bbebf1c6689f	d__Eukaryota	Chlorophyta	Green algae	unassigned			unassigned	unassigned	others		
b3a2dc0f4a5ee32b14b3189eae74205e	d__Eukaryota	unassigned	Other eukaryotes						others		
b3a686d7cca2a3e2722791cd9afb6140	d__Eukaryota	Apicomplexa	Other eukaryotes	Conoidasida	 o__Gregarinasina	 f__Eugregarinorida	 g__Monocystis	Monocystis	others	agilis	0.953781116
b3a713dc0a3a88dccc5dbe03aafa8a06	d__Eukaryota	Holozoa	Other eukaryotes	Choanoflagellida	 o__Craspedida	 f__Salpingoecidae	 g__Salpingoeca	Salpingoeca	others	fusiformis	0.880905657
b3a817764161f570197da408e5639598	d__Eukaryota	Cercozoa	Other eukaryotes	unassigned					others		
b3aa8e08da18f2820e862e55aae35b8d	d__Eukaryota	Ascomycota	Other eukaryotes	Dothideomycetes	 o__Pleosporales	 f__Pleosporales	 g__Herpotrichia	Herpotrichia	others	parasitica	0.786951301
b3aa94c57999bf94f6ace7c9337a48e7	d__Eukaryota	Phragmoplastophyta	Land plants	Embryophyta	0.900073293				others		
b3ad03cbb048e84ebb4a6ea20d0c6f32	d__Eukaryota	Ascomycota	Other eukaryotes	Dothideomycetes	 o__Pleosporales	0.992927053			others		
b3ae8aa95cd2dccc033f3e316abbcb92	d__Eukaryota	Chlorophyta	Green algae	Chlorophyceae	 o__Chlorophyceae	 f__Chlorophyceae	 g__Chlorophyceae	Dictyochloris	others	fragrans	0.860574826
b3b1a2cea639d1342b86ee2c86e7741c	d__Eukaryota	Ascomycota	Other eukaryotes	Pezizomycetes	 o__Pezizales	 f__Pyronemataceae	0.881340449		others		
b3b25d8af1868e37b5b360d9250c3c7c	d__Eukaryota	Chytridiomycota	Other eukaryotes	Chytridiomycetes	 o__Spizellomycetales	 f__Olpidiaceae	 g__Olpidium	Olpidium	others	brassicae	0.881827469
b3b4b41d6a973cc4d1c47a708b162157	d__Eukaryota	Basidiomycota	Other eukaryotes	Pucciniomycetes	 o__Pucciniomycetes	 f__Platygloeaceae	 g__Platygloea	Platygloea	others	disciformis	0.996794485
b3b65e942eda0f06f9a48f71260ca359	d__Eukaryota	Zoopagomycota	Other eukaryotes	Incertae_Sedis	 o__Zoopagales	 f__Piptocephalidaceae	 g__Piptocephalis		others		
b3bb62ba55bea0af8f8ee70c02e4fa41	d__Eukaryota	Nematozoa	Other eukaryotes	Enoplea	 o__Dorylaimia	 f__Dorylaimida	 g__Dorylaimida	Eudorylaimus	others	carteri	0.964862486
b3bbbc6f9aa8c7410eed0e9f81c2d9af	d__Eukaryota	Ciliophora	Other eukaryotes	Intramacronucleata	 o__Conthreep	 f__Oligohymenophorea	1		others		
b3bd30701524db5b17cb2720c5f0fc1c	d__Eukaryota	Amoebozoa	Other eukaryotes	Amoebozoa	 o__Amoebozoa	 f__Amoebozoa	 g__Amoebozoa	metagenome	others		0.99448044
b3bdd1ed556059eff76044ebc92256bd	d__Eukaryota	unassigned	Other eukaryotes						others		
b3c0f1ec7c722bcc5b9b8cb3f9b6ddf0	d__Eukaryota	Gracilipodida	Other eukaryotes	Gracilipodida	 o__Gracilipodida	 f__Gracilipodida	 g__Telaepolella	Telaepolella	others	sp.	0.937875958
b3c112b7182a8f47ae1daf8bb09c3a39	d__Eukaryota	Chlorophyta	Green algae	Trebouxiophyceae	 o__Trebouxiophyceae	 f__Trebouxiophyceae	 g__Trebouxiophyceae	unassigned	others	bisecta	0.999110849
b3c13043594f36ab2ac9e3893f0832bd	d__Eukaryota	Heterolobosea	Other eukaryotes	Tetramitia	 o__Tetramitia	 f__Tetramitia	 g__Vahlkampfia	Vahlkampfia	others	avara	0.999990641
b3c241afb427402c7380891ad6bc3e79	d__Eukaryota	Ochrophyta	Other eukaryotes	Chrysophyceae	0.999999071				others		
