Factor	Core_group	edge	sig	Category	Kingdom
Temp_low_Week4	Chaetothyriales	0.106417244	0.016590603	Climatic_conditions	Fungi
Total_nitrogen	Propionibacteriales	0.099904927	6.94E-05	Soil_properties	Bacteria
WHC	Burkholderiales	-0.106296352	0.048974908	Soil_properties	Bacteria
Wind_high_Week1	Chaetothyriales	-0.138071463	0.016208988	Climatic_conditions	Fungi
Wind_high_Week1	Propionibacteriales	-0.074860697	0.011641739	Climatic_conditions	Bacteria
Wind_high_Week1	Xylariales	0.043608866	0.028851493	Climatic_conditions	Fungi
Wind_high_Week2	Burkholderiales	-0.146025296	0.049581144	Climatic_conditions	Bacteria
Wind_high_Week2	Caulobacterales	-0.133569855	0.034258855	Climatic_conditions	Bacteria
Wind_high_Week2	Microtrichales	-0.159660934	0.019164714	Climatic_conditions	Bacteria
Wind_high_Week2	Xylariales	0.015002034	0.003708916	Climatic_conditions	Fungi
Wind_high_Week3	Chaetothyriales	-0.243746819	0.000919818	Climatic_conditions	Fungi
Wind_high_Week3	Hypocreales	-0.119432675	0.043100971	Climatic_conditions	Fungi
Wind_high_Week4	Caulobacterales	-0.099919219	0.037931711	Climatic_conditions	Bacteria
Wind_high_Week4	Chaetothyriales	-0.221225478	0.009640414	Climatic_conditions	Fungi
Wind_high_Week4	Xylariales	0.028111895	0.038709803	Climatic_conditions	Fungi
Wind_low_Week1	Solirubrobacterales	0.071837561	0.000949365	Climatic_conditions	Bacteria
Wind_low_Week2	Xylariales	0.024309761	1.80E-10	Climatic_conditions	Fungi
Wind_low_Week3	Burkholderiales	-0.174264934	0.048603144	Climatic_conditions	Bacteria
Wind_low_Week3	Solirubrobacterales	0.186636848	0.003441459	Climatic_conditions	Bacteria
Wind_low_Week3	Sphingomonadales	0.152116888	0.044207623	Climatic_conditions	Bacteria
Wind_low_Week4	Solirubrobacterales	0.164385913	0.000639988	Climatic_conditions	Bacteria
Windgust_Week1	Chaetothyriales	-0.208622753	0.00551707	Climatic_conditions	Fungi
Windgust_Week1	Helotiales	0.143944413	0.043760907	Climatic_conditions	Fungi
Windgust_Week2	Burkholderiales	-0.125014671	0.020024026	Climatic_conditions	Bacteria
Windgust_Week2	Microtrichales	-0.089928255	0.031035357	Climatic_conditions	Bacteria
Windgust_Week3	Chaetothyriales	-0.227928684	0.002470307	Climatic_conditions	Fungi
Windgust_Week3	Hypocreales	-0.100290604	0.014533468	Climatic_conditions	Fungi
Windgust_Week3	Solirubrobacterales	0.180149003	0.020065245	Climatic_conditions	Bacteria
Windgust_Week4	Chaetothyriales	-0.193582836	0.038803903	Climatic_conditions	Fungi
Windgust_Week4	Helotiales	0.202369554	1.22E-06	Climatic_conditions	Fungi
