FeatureID	Domain	Phylum	Class	Order	Order_mod	Family	Genus	Species	confidence	core
4b65dc28b9ab088b3df0ebefa562e338	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.804034543	Caulobacterales	
4b69e76e32f26690f2f71c3fee16b886	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.949308106	Caulobacterales	
4b8ac028b428f8c45cfbd89de921c2a1	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.976052976	Caulobacterales	
4be518084fd7c86185b91f84d8128c13	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.902016994	Caulobacterales	
4cd7f8b371f8175d3d9cac3583136495	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999855686	Caulobacterales		
4d42228f87cb8c4343e7c0a6daa5c97a	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__Hirschia	0.999797794	Caulobacterales	
4d59978068ff1073407e658bcfb18305	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__PMMR1	s__uncultured_bacterium	0.807124569	Caulobacterales
4da04aeb7a265f9622d0aa7a2e7fb087	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.814512503	Caulobacterales	
4e48f50c35560510b37f450e251b2de9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999852762	Caulobacterales		
4e8b2d8f207f66bc89b7b60827bb61d7	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.971598307	Caulobacterales	
4f49f121cf60ff018320e4699bdbdd52	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.740566435	Caulobacterales	
4f5bcf85a754766052861860c61f8872	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__Hirschia	0.99999938	Caulobacterales	
4f624bc47c452d7d3762ae1d90cbf41b	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.90381622	Caulobacterales	
4f8c7fe7f72eb8849219a2ac2ae24b7d	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__SWB02	0.999945494	Caulobacterales	
4fcd1157bf6bbb8cb33d438112091ca8	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__SWB02	s__metagenome	0.823667618	Caulobacterales
4fe8387ba06a3f70f8070218e1d040bd	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.964543835	Caulobacterales	
509a4b682927fc068303bfe2eaf83cec	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	s__Caulobacter_sp.	0.817886729	Caulobacterales
50ef10b8f10ce65d83d247dd66a6ea3d	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.940531766	Caulobacterales	
510180dd424989f78dfe410c9a9cc3c5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.861454157	Caulobacterales	
51188a9aaf4ca1d959228a521d927d49	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999770368	Caulobacterales		
5139a5e0484f615504fe39abcb57af78	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.96780289	Caulobacterales	
513e13eee8b7c52a09974a35915156b7	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.927440758	Caulobacterales	
5162edef05c2e0bbf52075fc672560a4	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.886206424	Caulobacterales	
51736308221edfd725965e3c1e755a8f	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__SWB02	0.999880922	Caulobacterales	
51ef83fdf2b656d605c26fc3d14d49d8	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__PMMR1	s__uncultured_bacterium	0.938545368	Caulobacterales
53250ac984b872eaa66ebb783af3b024	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__Hirschia	0.999653881	Caulobacterales	
533a1fa4f8ec19574dbb4ad6eab95e0f	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__Hirschia	0.999997295	Caulobacterales	
5364f263147e093d9b1b62bad0e43b5c	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__Caulobacter_fusiformis	0.943358727	Caulobacterales
536dd085dac3227a86ca7dc99cfc1001	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.972259497	Caulobacterales	
539c998691d54dc53d8c4f5c09b021e3	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.825123766	Caulobacterales	
53b8924d25da1c09b6cf54f9461c0f69	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.93615692	Caulobacterales	
53be66c4f847da4da47e692130ad26a0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.881129839	Caulobacterales	
53e5bcc3b8d56e0c2192ba6d9b505aff	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.836269331	Caulobacterales	
543d83dc3746cbd8a73f7cf3040b6665	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	0.978284269	Caulobacterales	
549742db9cd201666f85bd94827fd861	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.913628771	Caulobacterales	
54aa62734f1b65c902190cf51b2f6fa4	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	0.987947507	Caulobacterales	
54be12b4f8cdec790d8ccfd30389f72a	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.780570809	Caulobacterales	
550ffdea87abf71cffdfb6f48c1de2bf	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.89086975	Caulobacterales	
5510437f7c80b6ac88a42c422d81b194	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__PMMR1	s__uncultured_bacterium	0.898603098	Caulobacterales
55a1c47726150b4195381f2cde85e2de	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	0.995326556	Caulobacterales	
55de7f6abb5a87087ab3a3fbe11099eb	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.902234224	Caulobacterales	
56565967dade6048490d5e1efac1ef6e	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	0.964061509	Caulobacterales	
568182503161113aecbfd89a4d742df5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.906352871	Caulobacterales	
56e304f9cc2b6a8da3e790490f35e511	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999979949	Caulobacterales		
56fef0d3f7c29fae9ea4ded036581025	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.988107482	Caulobacterales	
575990f8a6bb5e38df1aeca722f1f5a9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.970745257	Caulobacterales	
578207f798efc0187e25c4822d5dfa9a	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__SWB02	0.999243051	Caulobacterales	
5782c8ad9dfdc66391ec83cb5f27bc07	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999723226	Caulobacterales		
578da87f8bdce9a8145341ebfb6fa817	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__Hirschia	s__uncultured_bacterium	0.744393447	Caulobacterales
58092acfdb928e8f2d0c877d6a19c24f	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__SWB02	0.999911081	Caulobacterales	
58294df06c3391d773fcd3bc8c5d4e5b	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__Hirschia	s__uncultured_bacterium	0.723617413	Caulobacterales
58c5d03739ec38dba01e360d8aa61883	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.88644393	Caulobacterales	
58e5acc92ca31a74f9a64e53d8472207	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Hyphomonadaceae	g__SWB02	s__uncultured_Alphaproteobacteria	0.765878385	Caulobacterales
5922895403d0521f8a5311b53815d8a5	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.732028215	Caulobacterales	
599e35b21d914bf32623affb3810a6f6	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Phenylobacterium	0.956805097	Caulobacterales	
5aac0ddd59576e81a7b29d6e985b91f0	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.909546696	Caulobacterales	
5ae6a3794a8b1a2f6e094ff52e80f324	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__PMMR1	0.762956616	Caulobacterales	
5b25e1c5c199836a6fa24b0eee621896	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.805276059	Caulobacterales	
5b34879a9c0ea9c9806d431f9ed05414	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.962814668	Caulobacterales	
5b4d4a13e043f767899f5a9f794e81ef	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	0.997895152	Caulobacterales	
5b67a228fc821fbb0a1fa14f1b08756b	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.712113591	Caulobacterales	
5c423984f78fbfd1264884a9c62b1677	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.973524901	Caulobacterales	
5c47a63e517e39ca7f60d8db1e4c3898	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.776785602	Caulobacterales	
5c9125ef8008d31f1e96ee74b5fa5e08	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	0.997210571	Caulobacterales	
5cd5228665aa694eb950368a81d1a202	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	0.730844418	Caulobacterales	
5cf51226b57995c68f587e4b302bd240	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	0.999985028	Caulobacterales		
5d2cec378b0eddff4ce4385d5dcbcf97	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.792777695	Caulobacterales	
5d424620f16a813dd91515f005c69c75	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	0.998132252	Caulobacterales	
5d5b1ee93575550a5c07bc5fb424bbfd	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__uncultured	0.746666383	Caulobacterales	
5d6c1e7238a1d438f17cc9e8efaeea7f	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	Caulobacterales	Caulobacterales	f__Caulobacteraceae	g__Caulobacter	s__uncultured_Caulobacter	0.729610904	Caulobacterales
