SampleID_16S	SampleID_ITS	Sample_ID	Site	Region	Cluster
ECOGEN2023_A5_A11_F4.R5	ECOGEN2023_A5_A11_F5.R5	SurveyECOGEN2023_513	COLO-C	Aveyron	2
ECOGEN2023_B5_B11_F4.R5	ECOGEN2023_B5_B11_F5.R5	SurveyECOGEN2023_514	COLO-A	Aveyron	3
ECOGEN2023_C5_C11_F4.R5	ECOGEN2023_C5_C11_F5.R5	SurveyECOGEN2023_515	BELC-A	Aveyron	2
ECOGEN2023_D5_D11_F4.R5	ECOGEN2023_D5_D11_F5.R5	SurveyECOGEN2023_516	FERR-A	Tarn	2
ECOGEN2023_E5_E11_F4.R5	ECOGEN2023_E5_E11_F5.R5	SurveyECOGEN2023_517	CRAN-A	Aveyron	2
ECOGEN2023_F5_F11_F4.R5	ECOGEN2023_F5_F11_F5.R5	SurveyECOGEN2023_518	ROQU-A	Tarn	NA
ECOGEN2023_G5_G11_F4.R5	ECOGEN2023_G5_G11_F5.R5	SurveyECOGEN2023_519	ROQU-B	Tarn	NA
ECOGEN2023_D1_D7_F2.R2	ECOGEN2023_D1_D7_F2.R3	SurveyECOGEN2023_52	CLAR-B	Haute-Garonne	4
ECOGEN2023_H5_H11_F4.R5	ECOGEN2023_H5_H11_F5.R5	SurveyECOGEN2023_520	BELC-C	Aveyron	2
ECOGEN2023_A6_A12_F4.R5	ECOGEN2023_A6_A12_F5.R5	SurveyECOGEN2023_521	LABR-A	Tarn	NA
ECOGEN2023_B6_B12_F4.R5	ECOGEN2023_B6_B12_F5.R5	SurveyECOGEN2023_522	CAMA-E	Aveyron	NA
ECOGEN2023_C6_C12_F4.R5	ECOGEN2023_C6_C12_F5.R5	SurveyECOGEN2023_523	NAUV-C	Aveyron	3
ECOGEN2023_D6_D12_F4.R5	ECOGEN2023_D6_D12_F5.R5	SurveyECOGEN2023_524	RAYR-A	Aveyron	1
ECOGEN2023_E6_E12_F4.R5	ECOGEN2023_E6_E12_F5.R5	SurveyECOGEN2023_525	COLO-B	Aveyron	2
ECOGEN2023_F6_F12_F4.R5	ECOGEN2023_F6_F12_F5.R5	SurveyECOGEN2023_526	LANT-D	Haute-Garonne	1
ECOGEN2023_G6_G12_F4.R5	ECOGEN2023_G6_G12_F5.R5	SurveyECOGEN2023_527	LUZE-D	Ariege	1
ECOGEN2023_H6_H12_F4.R5	ECOGEN2023_H6_H12_F5.R5	SurveyECOGEN2023_528	SORE-A	Tarn	2
ECOGEN2023_A1_A7_F4.R6	ECOGEN2023_A1_A7_F2.R6	SurveyECOGEN2023_529	CINT-B	Haute-Garonne	4
ECOGEN2023_E1_E7_F2.R2	ECOGEN2023_E1_E7_F2.R3	SurveyECOGEN2023_53	CLAR-C	Haute-Garonne	3
ECOGEN2023_B1_B7_F4.R6	ECOGEN2023_B1_B7_F2.R6	SurveyECOGEN2023_530	CINT-A	Haute-Garonne	1
ECOGEN2023_C1_C7_F4.R6	ECOGEN2023_C1_C7_F2.R6	SurveyECOGEN2023_531	CARL-A	Ariege	1
ECOGEN2023_D1_D7_F4.R6	ECOGEN2023_D1_D7_F2.R6	SurveyECOGEN2023_532	CASTI-A	Ariege	3
ECOGEN2023_E1_E7_F4.R6	ECOGEN2023_E1_E7_F2.R6	SurveyECOGEN2023_533	VILLE-A	Haute-Garonne	1
ECOGEN2023_F1_F7_F4.R6	ECOGEN2023_F1_F7_F2.R6	SurveyECOGEN2023_534	LUZE-E	Ariege	1
ECOGEN2023_G1_G7_F4.R6	ECOGEN2023_G1_G7_F2.R6	SurveyECOGEN2023_535	MONTB-A	Haute-Garonne	1
ECOGEN2023_H1_H7_F4.R6	ECOGEN2023_H1_H7_F2.R6	SurveyECOGEN2023_536	LABAS-B	Ariege	1
ECOGEN2023_A2_A8_F4.R6	ECOGEN2023_A2_A8_F2.R6	SurveyECOGEN2023_537	LUZE-A	Ariege	1
ECOGEN2023_B2_B8_F4.R6	ECOGEN2023_B2_B8_F2.R6	SurveyECOGEN2023_538	AXLE-A	Ariege	1
ECOGEN2023_C2_C8_F4.R6	ECOGEN2023_C2_C8_F2.R6	SurveyECOGEN2023_539	JACO-C	Ariege	1
ECOGEN2023_F1_F7_F2.R2	ECOGEN2023_F1_F7_F2.R3	SurveyECOGEN2023_54	CAST-A	Haute-Garonne	1
ECOGEN2023_D2_D8_F4.R6	ECOGEN2023_D2_D8_F2.R6	SurveyECOGEN2023_540	LOUB-A	Haute-Garonne	1
ECOGEN2023_E2_E8_F4.R6	ECOGEN2023_E2_E8_F2.R6	SurveyECOGEN2023_541	LANT-B	Haute-Garonne	3
ECOGEN2023_F2_F8_F4.R6	ECOGEN2023_F2_F8_F2.R6	SurveyECOGEN2023_542	VILLE-D	Haute-Garonne	1
ECOGEN2023_G2_G8_F4.R6	ECOGEN2023_G2_G8_F2.R6	SurveyECOGEN2023_543	BACC-A	Haute-Garonne	NA
ECOGEN2023_H2_H8_F4.R6	ECOGEN2023_H2_H8_F2.R6	SurveyECOGEN2023_544	CAMA-D	Aveyron	1
ECOGEN2023_A3_A9_F4.R6	ECOGEN2023_A3_A9_F2.R6	SurveyECOGEN2023_545	LACR-C	Ariege	1
ECOGEN2023_B3_B9_F4.R6	ECOGEN2023_B3_B9_F2.R6	SurveyECOGEN2023_546	LOUB-B	Haute-Garonne	1
ECOGEN2023_C3_C9_F4.R6	ECOGEN2023_C3_C9_F2.R6	SurveyECOGEN2023_547	DAMI-B	Tarn	1
ECOGEN2023_D3_D9_F4.R6	ECOGEN2023_D3_D9_F2.R6	SurveyECOGEN2023_548	LANT-C	Haute-Garonne	1
ECOGEN2023_E3_E9_F4.R6	ECOGEN2023_E3_E9_F2.R6	SurveyECOGEN2023_549	LUZE-B	Ariege	NA
ECOGEN2023_G1_G7_F2.R2	ECOGEN2023_G1_G7_F2.R3	SurveyECOGEN2023_55	CEPE-A	Haute-Garonne	1
ECOGEN2023_F3_F9_F4.R6	ECOGEN2023_F3_F9_F2.R6	SurveyECOGEN2023_550	DAMI-A	Tarn	1
ECOGEN2023_G3_G9_F4.R6	ECOGEN2023_G3_G9_F2.R6	SurveyECOGEN2023_551	MERE-A	Ariege	4
ECOGEN2023_H3_H9_F4.R6	ECOGEN2023_H3_H9_F2.R6	SurveyECOGEN2023_552	SAUR-A	Haute-Garonne	NA
ECOGEN2023_A4_A10_F4.R6	ECOGEN2023_A4_A10_F2.R6	SurveyECOGEN2023_553	BARA-C	Aveyron	1
ECOGEN2023_B4_B10_F4.R6	ECOGEN2023_B4_B10_F2.R6	SurveyECOGEN2023_554	LABAS-A	Ariege	NA
ECOGEN2023_C4_C10_F4.R6	ECOGEN2023_C4_C10_F2.R6	SurveyECOGEN2023_555	LESP-A	Ariege	1
ECOGEN2023_H1_H7_F2.R2	ECOGEN2023_H1_H7_F2.R3	SurveyECOGEN2023_56	MERV-A	Haute-Garonne	1
ECOGEN2023_A2_A8_F2.R2	ECOGEN2023_A2_A8_F2.R3	SurveyECOGEN2023_57	BESS-A	Aveyron	3
ECOGEN2023_B2_B8_F2.R2	ECOGEN2023_B2_B8_F2.R3	SurveyECOGEN2023_58	LAGR-A	Haute-Garonne	NA
ECOGEN2023_C2_C8_F2.R2	ECOGEN2023_C2_C8_F2.R3	SurveyECOGEN2023_59	DIEU-A	Tarn-et-Garonne	4
ECOGEN2023_F1_F7_F2.R1	ECOGEN2023_F1_F7_F2.R2	SurveyECOGEN2023_6	MARS-B	Gers	1
ECOGEN2023_D2_D8_F2.R2	ECOGEN2023_D2_D8_F2.R3	SurveyECOGEN2023_60	NAZA-A	Tarn-et-Garonne	1
ECOGEN2023_E2_E8_F2.R2	ECOGEN2023_E2_E8_F2.R3	SurveyECOGEN2023_61	LAUZ-A	Tarn-et-Garonne	1
ECOGEN2023_F2_F8_F2.R2	ECOGEN2023_F2_F8_F2.R3	SurveyECOGEN2023_62	BARR-A	Tarn-et-Garonne	3
ECOGEN2023_G2_G8_F2.R2	ECOGEN2023_G2_G8_F2.R3	SurveyECOGEN2023_63	DECA-A	Tarn-et-Garonne	1
ECOGEN2023_H2_H8_F2.R2	ECOGEN2023_H2_H8_F2.R3	SurveyECOGEN2023_64	CAPE-A	Tarn	4
ECOGEN2023_A3_A9_F2.R2	ECOGEN2023_A3_A9_F2.R3	SurveyECOGEN2023_65	MONE-A	Tarn	4
ECOGEN2023_B3_B9_F2.R2	ECOGEN2023_B3_B9_F2.R3	SurveyECOGEN2023_66	ANGE-A	Tarn	1
ECOGEN2023_C3_C9_F2.R2	ECOGEN2023_C3_C9_F2.R3	SurveyECOGEN2023_67	ANGE-B	Tarn	1
ECOGEN2023_D3_D9_F2.R2	ECOGEN2023_D3_D9_F2.R3	SurveyECOGEN2023_68	GAIL-A	Tarn	1
ECOGEN2023_E3_E9_F2.R2	ECOGEN2023_E3_E9_F2.R3	SurveyECOGEN2023_69	GAIL-B	Tarn	1
ECOGEN2023_G1_G7_F2.R1	ECOGEN2023_G1_G7_F2.R2	SurveyECOGEN2023_7	MONF-A	Gers	1
ECOGEN2023_F3_F9_F2.R2	ECOGEN2023_F3_F9_F2.R3	SurveyECOGEN2023_70	MONT-A	Tarn	NA
ECOGEN2023_G3_G9_F2.R2	ECOGEN2023_G3_G9_F2.R3	SurveyECOGEN2023_71	MONT-B	Tarn	NA
ECOGEN2023_H3_H9_F2.R2	ECOGEN2023_H3_H9_F2.R3	SurveyECOGEN2023_72	AMBR-A	Tarn	1
ECOGEN2023_A4_A10_F2.R2	ECOGEN2023_A4_A10_F2.R3	SurveyECOGEN2023_73	MULE-A	Tarn	NA
ECOGEN2023_B4_B10_F2.R2	ECOGEN2023_B4_B10_F2.R3	SurveyECOGEN2023_74	PAMP-A	Tarn	1
ECOGEN2023_C4_C10_F2.R2	ECOGEN2023_C4_C10_F2.R3	SurveyECOGEN2023_75	PAMP-B	Tarn	1
ECOGEN2023_D4_D10_F2.R2	ECOGEN2023_D4_D10_F2.R3	SurveyECOGEN2023_76	BARA-B	Aveyron	1
ECOGEN2023_H1_H7_F2.R1	ECOGEN2023_H1_H7_F2.R2	SurveyECOGEN2023_8	THOM-A	Haute-Garonne	1
ECOGEN2023_A2_A8_F2.R1	ECOGEN2023_A2_A8_F2.R2	SurveyECOGEN2023_9	MONB-A	Gers	2
ECOGEN2023_A1_A7_F2.R5	ECOGEN2023_A1_A7_F2.R5	SurveyECOGEN2023_97	LECT-A	Gers	1
ECOGEN2023_B1_B7_F2.R5	ECOGEN2023_B1_B7_F2.R5	SurveyECOGEN2023_98	LECT-B	Gers	1
ECOGEN2023_C1_C7_F2.R5	ECOGEN2023_C1_C7_F2.R5	SurveyECOGEN2023_99	PREI-A	Gers	1
