SampleID_16S	SampleID_ITS	Sample_ID	Site	Region	Cluster
ECOGEN2023_G3_G9_F3.R6	ECOGEN2023_G3_G9_F4.R6	SurveyECOGEN2023_359	REAL-A	Tarn	4
ECOGEN2023_D5_D11_F2.R1	ECOGEN2023_D5_D11_F2.R2	SurveyECOGEN2023_36	JUZET-A	Haute-Garonne	2
ECOGEN2023_H3_H9_F3.R6	ECOGEN2023_H3_H9_F4.R6	SurveyECOGEN2023_360	VALE-A	Tarn	1
ECOGEN2023_A4_A10_F3.R6	ECOGEN2023_A4_A10_F4.R6	SurveyECOGEN2023_361	BARA-C	Aveyron	1
ECOGEN2023_B4_B10_F3.R6	ECOGEN2023_B4_B10_F4.R6	SurveyECOGEN2023_362	LANT-B	Haute-Garonne	3
ECOGEN2023_C4_C10_F3.R6	ECOGEN2023_C4_C10_F4.R6	SurveyECOGEN2023_363	LANT-C	Haute-Garonne	1
ECOGEN2023_D4_D10_F3.R6	ECOGEN2023_D4_D10_F4.R6	SurveyECOGEN2023_364	LANT-D	Haute-Garonne	1
ECOGEN2023_E5_E11_F2.R1	ECOGEN2023_E5_E11_F2.R2	SurveyECOGEN2023_37	JUZET-B	Haute-Garonne	2
ECOGEN2023_F5_F11_F2.R1	ECOGEN2023_F5_F11_F2.R2	SurveyECOGEN2023_38	JUZET-C	Haute-Garonne	3
ECOGEN2023_A1_A7_F4.R1	ECOGEN2023_A1_A7_F5.R2	SurveyECOGEN2023_385	MEDA-A	Gers	1
ECOGEN2023_B1_B7_F4.R1	ECOGEN2023_B1_B7_F5.R2	SurveyECOGEN2023_386	THOM-A	Haute-Garonne	1
ECOGEN2023_C1_C7_F4.R1	ECOGEN2023_C1_C7_F5.R2	SurveyECOGEN2023_387	BULA-A	Hautes-Pyrenees	3
ECOGEN2023_D1_D7_F4.R1	ECOGEN2023_D1_D7_F5.R2	SurveyECOGEN2023_388	MONTM-B	Haute-Garonne	2
ECOGEN2023_E1_E7_F4.R1	ECOGEN2023_E1_E7_F5.R2	SurveyECOGEN2023_389	MONB-A	Gers	2
ECOGEN2023_G5_G11_F2.R1	ECOGEN2023_G5_G11_F2.R2	SurveyECOGEN2023_39	CHEI-A	Haute-Garonne	NA
ECOGEN2023_F1_F7_F4.R1	ECOGEN2023_F1_F7_F5.R2	SurveyECOGEN2023_390	LABA-C	Haute-Garonne	1
ECOGEN2023_G1_G7_F4.R1	ECOGEN2023_G1_G7_F5.R2	SurveyECOGEN2023_391	GREZ-A	Hautes-Pyrenees	NA
ECOGEN2023_H1_H7_F4.R1	ECOGEN2023_H1_H7_F5.R2	SurveyECOGEN2023_392	MASS-A	Gers	2
ECOGEN2023_A2_A8_F4.R1	ECOGEN2023_A2_A8_F5.R2	SurveyECOGEN2023_393	BARC-A	Gers	1
ECOGEN2023_B2_B8_F4.R1	ECOGEN2023_B2_B8_F5.R2	SurveyECOGEN2023_394	PREI-A(2)	Gers	1
ECOGEN2023_C2_C8_F4.R1	ECOGEN2023_C2_C8_F5.R2	SurveyECOGEN2023_395	SEIS-A	Gers	NA
ECOGEN2023_D2_D8_F4.R1	ECOGEN2023_D2_D8_F5.R2	SurveyECOGEN2023_396	BANI-C	Hautes-Pyrenees	2
ECOGEN2023_E2_E8_F4.R1	ECOGEN2023_E2_E8_F5.R2	SurveyECOGEN2023_397	CIER-C	Haute-Garonne	2
ECOGEN2023_F2_F8_F4.R1	ECOGEN2023_F2_F8_F5.R2	SurveyECOGEN2023_398	MONTM-A	Haute-Garonne	2
ECOGEN2023_G2_G8_F4.R1	ECOGEN2023_G2_G8_F5.R2	SurveyECOGEN2023_399	CIER-A	Haute-Garonne	2
ECOGEN2023_D1_D7_F2.R1	ECOGEN2023_D1_D7_F2.R2	SurveyECOGEN2023_4	PREI-A(2)	Gers	1
ECOGEN2023_H5_H11_F2.R1	ECOGEN2023_H5_H11_F2.R2	SurveyECOGEN2023_40	SALE-A	Haute-Garonne	1
ECOGEN2023_H2_H8_F4.R1	ECOGEN2023_H2_H8_F5.R2	SurveyECOGEN2023_400	CAZA-A	Hautes-Pyrenees	NA
ECOGEN2023_A3_A9_F4.R1	ECOGEN2023_A3_A9_F5.R2	SurveyECOGEN2023_401	LABA-B	Haute-Garonne	NA
ECOGEN2023_B3_B9_F4.R1	ECOGEN2023_B3_B9_F5.R2	SurveyECOGEN2023_402	SIMO-A	Gers	1
ECOGEN2023_C3_C9_F4.R1	ECOGEN2023_C3_C9_F5.R2	SurveyECOGEN2023_403	PUYM-B	Haute-Garonne	NA
ECOGEN2023_D3_D9_F4.R1	ECOGEN2023_D3_D9_F5.R2	SurveyECOGEN2023_404	MONTI-A	Gers	1
ECOGEN2023_E3_E9_F4.R1	ECOGEN2023_E3_E9_F5.R2	SurveyECOGEN2023_405	AMBR-A	Tarn	1
ECOGEN2023_F3_F9_F4.R1	ECOGEN2023_F3_F9_F5.R2	SurveyECOGEN2023_406	MONTI-B	Gers	1
ECOGEN2023_G3_G9_F4.R1	ECOGEN2023_G3_G9_F5.R2	SurveyECOGEN2023_407	JUZET-C	Haute-Garonne	3
ECOGEN2023_H3_H9_F4.R1	ECOGEN2023_H3_H9_F5.R2	SurveyECOGEN2023_408	CEPE-A	Haute-Garonne	1
ECOGEN2023_A4_A10_F4.R1	ECOGEN2023_A4_A10_F5.R2	SurveyECOGEN2023_409	CIER-B	Haute-Garonne	2
ECOGEN2023_A6_A12_F2.R1	ECOGEN2023_A6_A12_F2.R2	SurveyECOGEN2023_41	AUZE-A	Haute-Garonne	1
ECOGEN2023_B4_B10_F4.R1	ECOGEN2023_B4_B10_F5.R2	SurveyECOGEN2023_410	BAGNB-B	Hautes-Pyrenees	1
ECOGEN2023_C4_C10_F4.R1	ECOGEN2023_C4_C10_F5.R2	SurveyECOGEN2023_411	MONTG-B	Hautes-Pyrenees	1
ECOGEN2023_D4_D10_F4.R1	ECOGEN2023_D4_D10_F5.R2	SurveyECOGEN2023_412	VILLEM-A	Hautes-Pyrenees	1
ECOGEN2023_E4_E10_F4.R1	ECOGEN2023_E4_E10_F5.R2	SurveyECOGEN2023_413	LAMA-A	Haute-Garonne	1
ECOGEN2023_F4_F10_F4.R1	ECOGEN2023_F4_F10_F5.R2	SurveyECOGEN2023_414	SAUB-A	Haute-Garonne	NA
ECOGEN2023_G4_G10_F4.R1	ECOGEN2023_G4_G10_F5.R2	SurveyECOGEN2023_415	BANI-A	Hautes-Pyrenees	2
