FeatureID	Taxon	Confidence
82862d9711e9dbb49ede6265449082ab	d__Eukaryota;p__Ascomycota;c__Dothideomycetes	0.842962065
0ccfa563e50109d43eefb71c439371bc	d__Eukaryota	0.840162345
395de37ac859823127ea2a3ada872833	d__Eukaryota;p__Ascomycota;c__Dothideomycetes	0.786253107
8c6eb440d8f03025f72d4b8b21c9f5b3	d__Eukaryota;p__Ascomycota	0.744395049
608a01f5ef663252b5a86f1674b52cd5	d__Eukaryota	0.796200657
3874b500f86d0ed5b61fbe0a88c31e20	d__Bacteria	0.727522537
7bd08e5dce491adea0dbdb03ea1e2263	Unassigned	0.314038196
3c0a8e8ad3e4723a3dbed814ee5b68cd	d__Eukaryota	0.974053188
48bcf446ec2f5d32ef308d26f2a2124a	d__Eukaryota	0.970101562
20245936ce9ae4a7b37633b7477581e5	d__Bacteria	0.712125722
16cdbb4da5ae791e720c3281da8abd6b	d__Bacteria	0.934491588
88c9cb70ec51753b141fd312f1ae9318	d__Bacteria	0.870522741
e80399f8ec57dedd99c1a3bd894b2e9f	d__Bacteria	0.810613249
46caa7d611f4d9544714a212ef4d65aa	d__Bacteria;p__Chloroflexota;c__TK10;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.901074974
5c663dea57fd45fbdab1a4c30200e2ef	d__Eukaryota	0.876371501
a17ca056f75f5fe82e44447751c9a107	d__Eukaryota	0.842400502
d0257a8ef40f58d9d200d38766582c04	d__Eukaryota;p__Ascomycota	0.912392442
77d516932e26eaed9cd2d8754a5dcdd6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__	0.96490139
4d90241c82b5c848c1d7477bef0d879d	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SC-I-84;g__Incertae_Sedis;s__	0.973102359
ce847bb09df78117414e4725b2fcf4a9	d__Bacteria;p__Chloroflexota;c__AD3;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.997062563
119ea17a62a947d6365708c8d262e736	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia-Caballeronia-Paraburkholderia;s__	0.932195332
95a0123ef400396e1083e9fbb3f6ec3f	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Incertae_Sedis;s__	0.844457605
1e3f82898ea18346dc07ca02255e96a8	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcus;s__	0.74957706
d1e1711bc204df58e88e7919651fa221	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Frankiales;f__Acidothermaceae;g__Acidothermus;s__	0.755160281
ee4ffe719101cc2c9f2bc8cf688ea54f	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Beijerinckiaceae;g__Roseiarcus;s__	0.998065561
2c963baad8231fa90c2b8209f22b9440	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__KD3-93;g__Incertae_Sedis;s__	0.999974445
b81d32d9397ac98a9f2a5440c89e5911	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Terrabacter;s__	0.942465284
4fbea4636409a2b57c1d37de1aca6e23	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.999995888
82b2f9977adcf31f33131794dae28e62	d__Bacteria;p__Chloroflexota;c__TK10;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__	0.950119016
18024c68f19adcf5b552aa777e9ee905	Unassigned	0.723861405
17e58258dc4827cca81a79e3d8590278	Unassigned	0.886534093
73b894e1e2940d3a2981df53647fa19b	d__Eukaryota	0.78431192
95efa70df39135a035c7c0048f4b3343	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family;g__Acidibacter;s__	0.988007986
