FeatureID	Taxon	Confidence
d28c900aca008fa0825e6c6ab6f1b45a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Macrophomina;s__Macrophomina_sp;sh__SH0051535.09FU	0.775995744
b128735198971773313aec81e5e383d4	k__Fungi	1
375a3bb4c8e6653dd67ca34504874591	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp;sh__SH0246790.09FU	0.962213115
cf59594b68e3eefaf53ba5d657ace0c2	k__Fungi;p__Fungi_phy_Incertae_sedis;c__Fungi_cls_Incertae_sedis;o__Fungi_ord_Incertae_sedis;f__Fungi_fam_Incertae_sedis;g__Fungi_gen_Incertae_sedis;s__Fungi_sp	0.722946783
e3ea6fc4ebfe3ee7299e0856414ff07d	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Herpotrichiellaceae_gen_Incertae_sedis;s__Herpotrichiellaceae_sp;sh__SH0078953.09FU	0.999999998
127b0619a6e246db3769afa2f906134d	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Rodwayella;s__Rodwayella_citrinula;sh__SH0055064.09FU	0.975865459
0fe71c8d31d9c2c2108f7f87bf8609fa	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae	0.999609994
5a15aadf67398f2f84de55e650d657c6	k__Fungi	1
6581a3b1cd56e6a698ad056b6d1a6f4e	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma	1
4f714e59a6ed25e8fa3a84d58e9d3a69	k__Fungi;p__Ascomycota	0.964189176
72ec7ae3e7db9ffd84fcf7fc28257c71	k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0034239.09FU	0.99039086
770aeda2ac7dd94b814d2af55bf5c930	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Ceratobasidiaceae;g__Ceratobasidium;s__Ceratobasidium_sp;sh__SH0083515.09FU	0.998378747
02a2f35a66ddc47d4d4ced127cf71096	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;s__Knufia_peltigerae;sh__SH0100936.09FU	0.721877675
