FeatureID	Taxon	Confidence
2b07d4fca77be6a34d1f39bc4853f225	d__Eukaryota; p__Arthropoda; c__Arachnida; o__Acari; f__Acari; g__Acari	1
0a25659049eaec7b7e9606adee159043	d__Eukaryota; p__Ascomycota	0.999977266
ad441af3408c6a41707d57355f3adc2a	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes	0.999583381
31058ad2d5def4c3c8e342c441c0b8df	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Ophiosphaerella; s__Ophiosphaerella_herpotricha	0.804522221
acdb4ecf547dd4a3503777db390b9862	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Corticiales; f__Corticiaceae; g__Sistotrema; s__Sistotrema_brinkmannii	0.998139497
e6f3295b85911c482f7b986573057dc9	d__Eukaryota; p__Tardigrada; c__Eutardigrada	1
fa728931c51e72b353192e3069375057	d__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Melanopsichium; s__uncultured_eukaryote	0.978029237
254d863d2201ac61f7110dfe2a1fac30	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_alpina	0.991414032
35fb8bf042b79f2cf59fe67a44ec544f	d__Eukaryota; p__Ochrophyta; c__Xanthophyceae; o__Vaucheriales; f__Vaucheriales; g__Vaucheria; s__Vaucheria_bursata	0.999999348
1d8fdcfaae5f9850eb2c6ae58810d80b	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	0.997443642
e43568a914c39351a4c95b4ad143805a	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__Thecofilosea; s__metagenome	0.958355324
70b6adf21bc0aa7d802ccb50d31078bc	d__Eukaryota; p__Cercozoa; c__Phytomyxea; o__Phytomyxea; f__Phytomyxea	0.999999913
8c2fd97803a95f7f0f991a5b759272bf	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales	0.99998734
df32a435c3e233e9f55f2a4d317ae4b9	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella_sp.	0.999999997
63e6ddbad7256d424149aefc334f80be	d__Eukaryota; p__Cercozoa; c__Phytomyxea; o__Phytomyxea; f__Phytomyxea; g__Sorosphaerula; s__Sorosphaerula_veronicae	0.999616546
63653218c47b9cab1998d7028fa61a16	d__Eukaryota	1
3a33751397a6e14eb63d5ba9a56ef505	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Talaromyces; s__Talaromyces_purpureogenus	0.704467378
0d8c890f3767880784dcfb0ff1599f98	d__Eukaryota; p__Peronosporomycetes; c__Peronosporomycetes; o__Peronosporomycetes; f__Peronosporomycetes; g__Pythium; s__Pythium_monospermum	0.880962764
cd17868ea87cf0ac00b3425cd7fc47e0	d__Eukaryota; p__Nematozoa; c__Enoplea; o__Dorylaimia; f__Dorylaimida; g__Dorylaimida; s__Nematoda_environmental	0.943295574
6a0ff49db9420c5d2cc080875d94048a	d__Eukaryota; p__Ochrophyta; c__Xanthophyceae; o__Mischococcales; f__Mischococcales; g__Chlorellidium; s__Chlorellidium_tetrabotrys	0.986493194
f2c614b5f2e29222b4700154611383ef	d__Eukaryota; p__Cercozoa; c__Thecofilosea; o__Thecofilosea; f__Thecofilosea; g__uncultured; s__metagenome	0.999910438
1dd23e79e984479298da280378494e44	d__Eukaryota; p__Chlorophyta; c__Trebouxiophyceae; o__Trebouxiophyceae; f__Trebouxiophyceae; g__Trebouxiophyceae; s__Muriella_terrestris	0.999801853
ac46dc9b79f70c7c8092727deabba5d4	d__Eukaryota; p__Ochrophyta; c__Xanthophyceae; o__Tribonematales; f__Tribonematales; g__Xanthonema; s__Xanthonema_sessile	0.999984875
